trail,network,termination,throttle,recv_buff_size,total_cycles,actions_created,actions_performed,actions_false_pred,diffusions_created,diffusions_performed,diffusions_false_pred,avg_cells_active_percent,diffusions_filtered,actions_overlaped,diffusions_pruned,operons_moved,dim_x,dim_y,min_edges,max_edges,vicinity,pruning,rpvo_max,rhizome_cuttoff,congestion_threshold_value,memory_cc,chip_area,totE,time,avg_objects_per_cc,total_objects_created,vertices,edges,graph_file,routing_algorithm
0,MESH,OFF,ON,4,13736,2329764,535978,1793786,535978,492742,2004,63.7385,41232,767810,43236,199120373,128,128,20,20,1,ON,1,431800,181,112000,532.9144041378895,0.0023205409481663647,1.3736e-05,15.998,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
0,TORUS,OFF,ON,4,9018,2072125,471083,1601042,471083,438179,2921,53.1317,29983,673935,32904,132630726,128,128,20,20,1,ON,1,431800,90,112000,538.9984495005268,0.003071835733649794,9.018e-06,15.998,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
0,MESH,OFF,ON,4,92183,2738471,675140,2063331,675140,577746,8748,93.4325,88646,1356693,97394,28931771,16,16,20,20,1,ON,1,431800,22,3148000,221.2626779756134,0.0017707635384687983,9.2183e-05,1023.88,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
0,TORUS,OFF,ON,4,42232,2156471,507988,1648483,507988,455835,14634,97.9098,37519,915631,52153,17246799,16,16,20,20,1,ON,1,431800,11,3148000,221.3577411844046,0.0019506197488199698,4.2232e-05,1023.88,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
0,MESH,OFF,ON,4,46916,2559464,622429,1937035,622429,540082,3647,86.5053,78700,1227930,82347,54019416,32,32,20,20,1,ON,1,431800,45,1112000,313.85509546409753,0.0019518245050786154,4.6916e-05,255.969,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
0,TORUS,OFF,ON,4,20966,2017466,477665,1539801,477665,426636,4138,93.0715,46891,1301838,51029,32308339,32,32,20,20,1,ON,1,431800,22,1112000,314.23534829926245,0.002239630591049491,2.0966e-05,255.969,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
0,MESH,OFF,ON,4,23995,2340733,556548,1784185,556548,494727,2013,77.9553,59808,1025048,61821,99394247,64,64,20,20,1,ON,1,431800,90,728000,824.4987380207738,0.002900242856890974,2.3995e-05,63.9922,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
0,TORUS,OFF,ON,4,10689,1949062,457247,1491815,457247,412180,3017,82.3299,42050,1160417,45067,62445601,64,64,20,20,1,ON,1,431800,45,728000,826.019749361433,0.003557533890555625,1.0689e-05,63.9922,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
1,MESH,OFF,ON,4,15038,2298450,529710,1768740,529710,486013,1971,57.8202,41726,741619,43697,196201271,128,128,20,20,1,ON,1,431800,181,112000,532.9144041378895,0.002287960122626101,1.5038e-05,15.998,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
1,TORUS,OFF,ON,4,8708,2317611,531911,1785700,531911,489998,4342,57.911,37571,795003,41913,148340049,128,128,20,20,1,ON,1,431800,90,112000,538.9984495005268,0.003434395300664184,8.708e-06,15.998,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
1,MESH,OFF,ON,4,97932,2871378,707825,2163553,707825,605899,8891,92.8619,93035,1376355,101926,30243326,16,16,20,20,1,ON,1,431800,22,3148000,221.2626779756134,0.0018517244972002611,9.7932e-05,1023.88,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
1,TORUS,OFF,ON,4,38657,1955580,457097,1498483,457097,413886,12040,97.4055,31171,824866,43211,15641569,16,16,20,20,1,ON,1,431800,11,3148000,221.3577411844046,0.0017691984635113157,3.8657e-05,1023.88,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
1,MESH,OFF,ON,4,48507,2618345,639698,1978647,639698,552679,3763,86.073,83256,1260718,87019,55373439,32,32,20,20,1,ON,1,431800,45,1112000,313.85509546409753,0.002000983984808666,4.8507e-05,255.969,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
1,TORUS,OFF,ON,4,20553,1977650,467440,1510210,467440,418306,4176,92.9021,44958,1271649,49134,31636796,32,32,20,20,1,ON,1,431800,22,1112000,314.23534829926245,0.0021930970590165566,2.0553e-05,255.969,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
1,MESH,OFF,ON,4,23210,2360225,562318,1797907,562318,498750,2008,80.3341,61560,1102007,63568,100318659,64,64,20,20,1,ON,1,431800,90,728000,824.4987380207738,0.0029256620891100027,2.321e-05,63.9922,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
1,TORUS,OFF,ON,4,13280,2093013,494751,1598262,494751,442575,2831,80.8534,49345,886079,52176,67034698,64,64,20,20,1,ON,1,431800,45,728000,826.019749361433,0.0038217718316437646,1.328e-05,63.9922,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
2,MESH,OFF,ON,4,16437,2539855,590122,1949733,590122,536460,2127,58.5432,51535,812672,53662,216250578,128,128,20,20,1,ON,1,431800,181,112000,532.9144041378895,0.002521678203013578,1.6437e-05,15.998,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
2,TORUS,OFF,ON,4,8995,2187341,499475,1687866,499475,462280,2773,57.7215,34422,726653,37195,139950568,128,128,20,20,1,ON,1,431800,90,112000,538.9984495005268,0.0032408898462194463,8.995e-06,15.998,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
2,MESH,OFF,ON,4,96656,2899063,712922,2186141,712922,611687,8961,93.5097,92274,1404097,101235,30575723,16,16,20,20,1,ON,1,431800,22,3148000,221.2626779756134,0.0018710751663488095,9.6656e-05,1023.88,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
2,TORUS,OFF,ON,4,41934,2123740,500105,1623635,500105,449300,14316,97.7242,36489,901078,50805,16990192,16,16,20,20,1,ON,1,431800,11,3148000,221.3577411844046,0.0019217313465054258,4.1934e-05,1023.88,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
2,MESH,OFF,ON,4,47979,2639555,644197,1995358,644197,557244,3784,88.628,83169,1235004,86953,55818147,32,32,20,20,1,ON,1,431800,45,1112000,313.85509546409753,0.0020165127827319607,4.7979e-05,255.969,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
2,TORUS,OFF,ON,4,22306,2171094,514610,1656484,514610,459231,4400,94.1564,50979,1394759,55379,34741503,32,32,20,20,1,ON,1,431800,22,1112000,314.23534829926245,0.0024081677622008065,2.2306e-05,255.969,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
2,MESH,OFF,ON,4,25495,2479835,594537,1885298,594537,524290,2156,77.8297,68091,1117514,70247,105034784,64,64,20,20,1,ON,1,431800,90,728000,824.4987380207738,0.0030650891973499853,2.5495e-05,63.9922,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
2,TORUS,OFF,ON,4,12598,1944352,456822,1487530,456822,411478,2691,78.614,42653,952268,45344,62227344,64,64,20,20,1,ON,1,431800,45,728000,826.019749361433,0.00354810451403257,1.2598e-05,63.9922,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
3,MESH,OFF,ON,4,17950,2737090,643778,2093312,643778,577433,2274,60.4141,64071,915787,66345,232764938,128,128,20,20,1,ON,1,431800,181,112000,532.9144041378895,0.002714543254881548,1.795e-05,15.998,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
3,TORUS,OFF,ON,4,9410,2127313,484992,1642321,484992,450019,3247,53.6132,31726,718790,34973,136157837,128,128,20,20,1,ON,1,431800,90,112000,538.9984495005268,0.0031536770622472864,9.41e-06,15.998,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
3,MESH,OFF,ON,4,92742,2727854,670074,2057780,670074,576166,8412,92.5018,85496,1305460,93908,28770332,16,16,20,20,1,ON,1,431800,22,3148000,221.2626779756134,0.001761336431292995,9.2742e-05,1023.88,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
3,TORUS,OFF,ON,4,40707,2064580,485421,1579159,485421,436870,13576,97.5232,34975,872934,48551,16527741,16,16,20,20,1,ON,1,431800,11,3148000,221.3577411844046,0.0018693799122177395,4.0707e-05,1023.88,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
3,MESH,OFF,ON,4,46741,2546583,619748,1926835,619748,537804,3447,87.2943,78497,1234762,81944,53898027,32,32,20,20,1,ON,1,431800,45,1112000,313.85509546409753,0.0019473711073383297,4.6741e-05,255.969,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
3,TORUS,OFF,ON,4,19931,1966623,465973,1500650,465973,416170,4014,94.9661,45789,1265466,49803,31495542,32,32,20,20,1,ON,1,431800,22,1112000,314.23534829926245,0.0021829902413374323,1.9931e-05,255.969,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
3,MESH,OFF,ON,4,24593,2409475,575293,1834182,575293,509119,2098,78.069,64076,1096088,66174,102306239,64,64,20,20,1,ON,1,431800,90,728000,824.4987380207738,0.0029850625389728205,2.4593e-05,63.9922,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
3,TORUS,OFF,ON,4,10359,1910509,447005,1463504,447005,403899,2894,82.8761,40212,1116505,43106,61166525,64,64,20,20,1,ON,1,431800,45,728000,826.019749361433,0.0034844939495483314,1.0359e-05,63.9922,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
