trail,network,termination,throttle,recv_buff_size,total_cycles,actions_created,actions_performed,actions_false_pred,diffusions_created,diffusions_performed,diffusions_false_pred,avg_cells_active_percent,diffusions_filtered,actions_overlaped,diffusions_pruned,operons_moved,dim_x,dim_y,min_edges,max_edges,vicinity,pruning,rpvo_max,rhizome_cuttoff,congestion_threshold_value,memory_cc,chip_area,totE,time,avg_objects_per_cc,total_objects_created,vertices,edges,graph_file,routing_algorithm
0,TORUS,OFF,ON,4,14917,1496989,1496989,0,524222,524222,0,40.9542,0,235838,0,79052916,128,128,20,20,1,ON,1,431800,90,112000,538.9984495005268,0.0018462659409519272,1.4917e-05,15.998,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
0,TORUS,OFF,ON,4,175546,1496989,1496989,0,524222,524222,0,86.3516,0,638522,0,9872310,16,16,20,20,1,ON,1,431800,11,3148000,221.3577411844046,0.0011857393108379109,0.000175546,1023.88,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
0,TORUS,OFF,ON,4,68650,1496989,1496989,0,524222,524222,0,78.3104,0,743017,0,19759339,32,32,20,20,1,ON,1,431800,22,1112000,314.23534829926245,0.0014087708048301604,6.865e-05,255.969,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
0,TORUS,OFF,ON,4,26942,1496989,1496989,0,524222,524222,0,69.4457,0,678663,0,39519903,64,64,20,20,1,ON,1,431800,45,728000,826.019749361433,0.00228875536818378,2.6942e-05,63.9922,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
1,TORUS,OFF,ON,4,14588,1496989,1496989,0,524222,524222,0,41.924,0,240169,0,79053115,128,128,20,20,1,ON,1,431800,90,112000,538.9984495005268,0.0018459591593094611,1.4588e-05,15.998,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
1,TORUS,OFF,ON,4,179457,1496989,1496989,0,524222,524222,0,85.2898,0,644295,0,9882036,16,16,20,20,1,ON,1,431800,11,3148000,221.3577411844046,0.001188450139592725,0.000179457,1023.88,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
1,TORUS,OFF,ON,4,67834,1496989,1496989,0,524222,524222,0,78.9599,0,763351,0,19761768,32,32,20,20,1,ON,1,431800,22,1112000,314.23534829926245,0.0014084584386334917,6.7834e-05,255.969,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
1,TORUS,OFF,ON,4,27436,1496989,1496989,0,524222,524222,0,69.2006,0,676147,0,39520334,64,64,20,20,1,ON,1,431800,45,728000,826.019749361433,0.0022895394780464953,2.7436e-05,63.9922,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
2,TORUS,OFF,ON,4,14750,1496989,1496989,0,524222,524222,0,41.5219,0,243067,0,79017048,128,128,20,20,1,ON,1,431800,90,112000,538.9984495005268,0.0018452816741175958,1.475e-05,15.998,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
2,TORUS,OFF,ON,4,175319,1496989,1496989,0,524222,524222,0,86.9404,0,644005,0,9880364,16,16,20,20,1,ON,1,431800,11,3148000,221.3577411844046,0.0011865436732248825,0.000175319,1023.88,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
2,TORUS,OFF,ON,4,66830,1496989,1496989,0,524222,524222,0,78.9633,0,770057,0,19752502,32,32,20,20,1,ON,1,431800,22,1112000,314.23534829926245,0.001407232324626506,6.683e-05,255.969,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
2,TORUS,OFF,ON,4,26218,1496989,1496989,0,524222,524222,0,70.5834,0,711445,0,39518015,64,64,20,20,1,ON,1,431800,45,728000,826.019749361433,0.0022875350999248304,2.6218e-05,63.9922,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
3,TORUS,OFF,ON,4,14673,1496989,1496989,0,524222,524222,0,41.6107,0,233289,0,79039854,128,128,20,20,1,ON,1,431800,90,112000,538.9984495005268,0.0018457341366719775,1.4673e-05,15.998,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
3,TORUS,OFF,ON,4,180017,1496989,1496989,0,524222,524222,0,85.152,0,641476,0,9876400,16,16,20,20,1,ON,1,431800,11,3148000,221.3577411844046,0.0011880539977239535,0.000180017,1023.88,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
3,TORUS,OFF,ON,4,66350,1496989,1496989,0,524222,524222,0,79.4113,0,767209,0,19750929,32,32,20,20,1,ON,1,431800,22,1112000,314.23534829926245,0.0014068423818361232,6.635e-05,255.969,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
3,TORUS,OFF,ON,4,26467,1496989,1496989,0,524222,524222,0,69.9537,0,716813,0,39548939,64,64,20,20,1,ON,1,431800,45,728000,826.019749361433,0.0022896678089789364,2.6467e-05,63.9922,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
