trail,network,termination,throttle,recv_buff_size,total_cycles,actions_created,actions_performed,actions_false_pred,diffusions_created,diffusions_performed,diffusions_false_pred,avg_cells_active_percent,diffusions_filtered,actions_overlaped,diffusions_pruned,operons_moved,dim_x,dim_y,min_edges,max_edges,vicinity,pruning,rpvo_max,rhizome_cuttoff,congestion_threshold_value,memory_cc,chip_area,totE,time,avg_objects_per_cc,total_objects_created,vertices,edges,graph_file,routing_algorithm
0,MESH,OFF,ON,4,24039,4522353,1116172,3406181,1116172,952664,4653,72.6888,158855,1714038,163508,384269217,128,128,20,20,1,ON,1,431800,181,112000,532.9144041378895,0.004476370775922109,2.4039e-05,15.998,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
0,TORUS,OFF,ON,4,15514,4351561,1078376,3273185,1078376,916979,7451,71.0583,153946,1737248,161397,278279195,128,128,20,20,1,ON,1,431800,90,112000,538.9984495005268,0.00644237018761466,1.5514e-05,15.998,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
0,MESH,OFF,ON,4,154320,4695744,1206614,3489130,1206614,989338,18921,94.8372,198355,2337105,217276,49370597,16,16,20,20,1,ON,1,431800,22,3148000,221.2626779756134,0.003020791473089959,0.00015432,1023.88,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
0,TORUS,OFF,ON,4,60721,3116365,787088,2329277,787088,658542,36042,98.4975,92504,1371537,128546,24929348,16,16,20,20,1,ON,1,431800,11,3148000,221.3577411844046,0.0028196235641398783,6.0721e-05,1023.88,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
0,MESH,OFF,ON,4,70457,4201191,1082106,3119085,1082106,885037,8543,92.3073,188526,2121111,197069,88609637,32,32,20,20,1,ON,1,431800,45,1112000,313.85509546409753,0.003198104344819174,7.0457e-05,255.969,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
0,TORUS,OFF,ON,4,34562,3421241,863909,2557332,863909,722007,10677,96.1365,131225,2282086,141902,54760414,32,32,20,20,1,ON,1,431800,22,1112000,314.23534829926245,0.0037957007075485323,3.4562e-05,255.969,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
0,MESH,OFF,ON,4,38276,4224526,1076575,3147951,1076575,889359,5314,85.4759,181902,2011829,187216,178489933,64,64,20,20,1,ON,1,431800,90,728000,824.4987380207738,0.00520120026405873,3.8276e-05,63.9922,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
0,TORUS,OFF,ON,4,20910,3703207,938397,2764810,938397,781023,6899,87.3903,150475,2257724,157374,118481811,64,64,20,20,1,ON,1,431800,45,728000,826.019749361433,0.006751229364276104,2.091e-05,63.9922,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
1,MESH,OFF,ON,4,24423,4685215,1156720,3528495,1156720,986185,4642,72.8294,165893,1735559,170535,396699527,128,128,20,20,1,ON,1,431800,181,112000,532.9144041378895,0.004620867865647448,2.4423e-05,15.998,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
1,TORUS,OFF,ON,4,15182,4048188,993250,3054938,993250,852801,7587,65.6709,132862,1522029,140449,258676005,128,128,20,20,1,ON,1,431800,90,112000,538.9984495005268,0.005989229280362455,1.5182e-05,15.998,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
1,MESH,OFF,ON,4,135904,4123039,1071503,3051536,1071503,867707,17735,95.2196,186061,2118760,203796,43446141,16,16,20,20,1,ON,1,431800,22,3148000,221.2626779756134,0.002658357415285767,0.000135904,1023.88,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
1,TORUS,OFF,ON,4,64957,3325505,836650,2488855,836650,702234,36871,98.4661,97545,1471102,134416,26618660,16,16,20,20,1,ON,1,431800,11,3148000,221.3577411844046,0.0030107197961521453,6.4957e-05,1023.88,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
1,MESH,OFF,ON,4,75975,4550276,1178673,3371603,1178673,957600,9110,92.3866,211963,2322077,221073,95962065,32,32,20,20,1,ON,1,431800,45,1112000,313.85509546409753,0.0034633082015366,7.5975e-05,255.969,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
1,TORUS,OFF,ON,4,34839,3427280,869739,2557541,869739,722836,10962,96.0259,135941,2353057,146903,54830408,32,32,20,20,1,ON,1,431800,22,1112000,314.23534829926245,0.0038007154316865095,3.4839e-05,255.969,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
1,MESH,OFF,ON,4,37360,4140800,1051711,3089089,1051711,871726,5168,86.6396,174817,1977846,179985,175166091,64,64,20,20,1,ON,1,431800,90,728000,824.4987380207738,0.005103994277194796,3.736e-05,63.9922,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
1,TORUS,OFF,ON,4,17511,3344858,838046,2506812,838046,705402,6886,88.4996,125758,2141874,132644,106977949,64,64,20,20,1,ON,1,431800,45,728000,826.019749361433,0.006093582480469814,1.7511e-05,63.9922,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
2,MESH,OFF,ON,4,25741,4780243,1172579,3607664,1172579,1007438,5059,69.9059,160082,1684132,165141,403584423,128,128,20,20,1,ON,1,431800,181,112000,532.9144041378895,0.004701931820842908,2.5741e-05,15.998,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
2,TORUS,OFF,ON,4,13936,4344654,1071714,3272940,1071714,915303,7680,73.1472,148731,1663401,156411,277832403,128,128,20,20,1,ON,1,431800,90,112000,538.9984495005268,0.0064305345224370675,1.3936e-05,15.998,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
2,MESH,OFF,ON,4,144566,4348236,1125914,3222322,1125914,915584,18040,95.0648,192290,2187732,210330,45681645,16,16,20,20,1,ON,1,431800,22,3148000,221.2626779756134,0.0027958704279061526,0.000144566,1023.88,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
2,TORUS,OFF,ON,4,63025,3234830,817044,2417786,817044,683026,38005,98.2184,96013,1417582,134018,25880305,16,16,20,20,1,ON,1,431800,11,3148000,221.3577411844046,0.002927174555277536,6.3025e-05,1023.88,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
2,MESH,OFF,ON,4,76455,4610981,1182866,3428115,1182866,971082,9025,92.6193,202759,2320136,211784,97127429,32,32,20,20,1,ON,1,431800,45,1112000,313.85509546409753,0.0035050763327119346,7.6455e-05,255.969,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
2,TORUS,OFF,ON,4,34049,3352574,848166,2504408,848166,707449,10705,96.0137,130012,2283931,140717,53642374,32,32,20,20,1,ON,1,431800,22,1112000,314.23534829926245,0.0037183293359290418,3.4049e-05,255.969,262112,262111,1234877,PATH-TO/Datasets/Real/amazon0302.edgelist,XY
