trail,network,termination,throttle,recv_buff_size,total_cycles,actions_created,actions_performed,actions_false_pred,diffusions_created,diffusions_performed,diffusions_false_pred,avg_cells_active_percent,diffusions_filtered,actions_overlaped,diffusions_pruned,operons_moved,dim_x,dim_y,min_edges,max_edges,vicinity,pruning,rpvo_max,rhizome_cuttoff,congestion_threshold_value,memory_cc,chip_area,totE,time,avg_objects_per_cc,total_objects_created,vertices,edges,graph_file,routing_algorithm
0,MESH,OFF,ON,4,17086,3647515,572537,3074978,572537,405547,916,81.8572,166074,2540982,166990,313022995,128,128,20,20,1,ON,1,431800,181,52000,263.58837674062926,0.0025617237056013028,1.7086e-05,16.0064,262249,262144,2359296,PATH-TO/Datasets/Synthetic/Erdos-Renyi_directed_ef_9_v_18.edgelist,XY
0,TORUS,OFF,ON,4,9192,3251741,502884,2748857,502884,361455,1642,81.9639,139787,2412069,141429,208233414,128,128,20,20,1,ON,1,431800,90,52000,269.6724221032666,0.0034085948140410967,9.192e-06,16.0064,262249,262144,2359296,PATH-TO/Datasets/Synthetic/Erdos-Renyi_directed_ef_9_v_18.edgelist,XY
0,MESH,OFF,ON,4,142033,3897533,651345,3246188,651345,433210,8658,90.8439,209477,2620491,218135,41357077,16,16,20,20,1,ON,1,431800,22,1148000,80.9887053728737,0.0015245521525666715,0.000142033,1024.41,262249,262144,2359296,PATH-TO/Datasets/Synthetic/Erdos-Renyi_directed_ef_9_v_18.edgelist,XY
0,TORUS,OFF,ON,4,68882,3393523,541173,2852350,541173,376993,20182,98.5718,143998,2190313,164180,27144243,16,16,20,20,1,ON,1,431800,11,1148000,81.08376858166491,0.0018559331282869413,6.8882e-05,1024.41,262249,262144,2359296,PATH-TO/Datasets/Synthetic/Erdos-Renyi_directed_ef_9_v_18.edgelist,XY
0,MESH,OFF,ON,4,71721,3687094,602833,3084261,602833,409886,2782,86.6222,190165,2649082,192947,78787702,32,32,20,20,1,ON,1,431800,45,512000,145.52632834080987,0.0019337346072315904,7.1721e-05,256.103,262249,262144,2359296,PATH-TO/Datasets/Synthetic/Erdos-Renyi_directed_ef_9_v_18.edgelist,XY
0,TORUS,OFF,ON,4,35758,3329876,527896,2801980,527896,370032,5007,95.0426,152857,2613514,157864,53248983,32,32,20,20,1,ON,1,431800,22,512000,145.9065811759747,0.0025141484340856293,3.5758e-05,256.103,262249,262144,2359296,PATH-TO/Datasets/Synthetic/Erdos-Renyi_directed_ef_9_v_18.edgelist,XY
0,MESH,OFF,ON,4,33996,3489717,553585,2936132,553585,388005,1405,83.6084,164175,2506839,165580,149635866,64,64,20,20,1,ON,1,431800,90,328000,375.6220256920066,0.0029362886915277934,3.3996e-05,64.0256,262249,262144,2359296,PATH-TO/Datasets/Synthetic/Erdos-Renyi_directed_ef_9_v_18.edgelist,XY
0,TORUS,OFF,ON,4,17770,3167942,483051,2684891,483051,352132,1944,88.9109,128975,2460231,130919,101375424,64,64,20,20,1,ON,1,431800,45,328000,377.143037032666,0.003899635939924834,1.777e-05,64.0256,262249,262144,2359296,PATH-TO/Datasets/Synthetic/Erdos-Renyi_directed_ef_9_v_18.edgelist,XY
1,MESH,OFF,ON,4,15379,3419587,529534,2890053,529534,380152,872,84.9264,148510,2386641,149382,293420121,128,128,20,20,1,ON,1,431800,181,52000,263.58837674062926,0.0024009862652740626,1.5379e-05,16.0064,262249,262144,2359296,PATH-TO/Datasets/Synthetic/Erdos-Renyi_directed_ef_9_v_18.edgelist,XY
1,TORUS,OFF,ON,4,8919,3134078,471585,2662493,471585,348425,1448,81.6142,121712,2310481,123160,200616523,128,128,20,20,1,ON,1,431800,90,52000,269.6724221032666,0.003283885774227974,8.919e-06,16.0064,262249,262144,2359296,PATH-TO/Datasets/Synthetic/Erdos-Renyi_directed_ef_9_v_18.edgelist,XY
1,MESH,OFF,ON,4,138709,3759852,623335,3136517,623335,417845,8209,89.8302,197281,2515237,205490,39919886,16,16,20,20,1,ON,1,431800,22,1148000,80.9887053728737,0.0014717860585102512,0.000138709,1024.41,262249,262144,2359296,PATH-TO/Datasets/Synthetic/Erdos-Renyi_directed_ef_9_v_18.edgelist,XY
1,TORUS,OFF,ON,4,67557,3303619,524122,2779497,524122,367217,19197,98.0931,137708,2128287,156905,26426218,16,16,20,20,1,ON,1,431800,11,1148000,81.08376858166491,0.0018069020787288424,6.7557e-05,1024.41,262249,262144,2359296,PATH-TO/Datasets/Synthetic/Erdos-Renyi_directed_ef_9_v_18.edgelist,XY
1,MESH,OFF,ON,4,72721,3613089,586615,3026474,586615,401480,2745,83.9329,182390,2588311,185135,77217184,32,32,20,20,1,ON,1,431800,45,512000,145.52632834080987,0.0018958247726940723,7.2721e-05,256.103,262249,262144,2359296,PATH-TO/Datasets/Synthetic/Erdos-Renyi_directed_ef_9_v_18.edgelist,XY
1,TORUS,OFF,ON,4,34624,3277412,516567,2760845,516567,364372,4907,96.3455,147288,2572110,152195,52418228,32,32,20,20,1,ON,1,431800,22,512000,145.9065811759747,0.0024747529939251663,3.4624e-05,256.103,262249,262144,2359296,PATH-TO/Datasets/Synthetic/Erdos-Renyi_directed_ef_9_v_18.edgelist,XY
1,MESH,OFF,ON,4,32706,3515622,564433,2951189,564433,390941,1582,86.7446,171910,2540172,173492,150736643,64,64,20,20,1,ON,1,431800,90,328000,375.6220256920066,0.0029568535687038906,3.2706e-05,64.0256,262249,262144,2359296,PATH-TO/Datasets/Synthetic/Erdos-Renyi_directed_ef_9_v_18.edgelist,XY
1,TORUS,OFF,ON,4,17784,3167100,488030,2679070,488030,352073,2098,88.7729,133859,2468908,135957,101330174,64,64,20,20,1,ON,1,431800,45,328000,377.143037032666,0.0038979358388355236,1.7784e-05,64.0256,262249,262144,2359296,PATH-TO/Datasets/Synthetic/Erdos-Renyi_directed_ef_9_v_18.edgelist,XY
2,MESH,OFF,ON,4,16613,3545929,560106,2985823,560106,394429,927,81.9206,164750,2485277,165677,304337368,128,128,20,20,1,ON,1,431800,181,52000,263.58837674062926,0.002490657248465283,1.6613e-05,16.0064,262249,262144,2359296,PATH-TO/Datasets/Synthetic/Erdos-Renyi_directed_ef_9_v_18.edgelist,XY
2,TORUS,OFF,ON,4,8803,3114755,468081,2646674,468081,346324,1429,81.8933,120328,2303980,121757,199309633,128,128,20,20,1,ON,1,431800,90,52000,269.6724221032666,0.0032624690926656903,8.803e-06,16.0064,262249,262144,2359296,PATH-TO/Datasets/Synthetic/Erdos-Renyi_directed_ef_9_v_18.edgelist,XY
