trail,network,termination,throttle,recv_buff_size,total_cycles,actions_created,actions_performed,actions_false_pred,diffusions_created,diffusions_performed,diffusions_false_pred,avg_cells_active_percent,diffusions_filtered,actions_overlaped,diffusions_pruned,operons_moved,dim_x,dim_y,min_edges,max_edges,vicinity,pruning,rpvo_max,rhizome_cuttoff,congestion_threshold_value,memory_cc,chip_area,totE,time,avg_objects_per_cc,total_objects_created,vertices,edges,graph_file,routing_algorithm
0,TORUS,OFF,ON,4,13557,2621545,2621545,0,524366,524366,0,73.1873,0,1692922,0,151046994,128,128,20,20,1,ON,1,431800,90,112000,538.9984495005268,0.0035117489104220497,1.3557e-05,16.0064,262249,262144,2359296,PATH-TO/Datasets/Synthetic/Erdos-Renyi_directed_ef_9_v_18.edgelist,XY
0,TORUS,OFF,ON,4,231305,2621545,2621545,0,524366,524366,0,84.6908,0,1618595,0,18873846,16,16,20,20,1,ON,1,431800,11,3148000,221.3577411844046,0.002221746732738909,0.000231305,1024.41,262249,262144,2359296,PATH-TO/Datasets/Synthetic/Erdos-Renyi_directed_ef_9_v_18.edgelist,XY
0,TORUS,OFF,ON,4,88557,2621545,2621545,0,524366,524366,0,80.5681,0,1799445,0,37739839,32,32,20,20,1,ON,1,431800,22,1112000,314.23534829926245,0.0026639476569944812,8.8557e-05,256.103,262249,262144,2359296,PATH-TO/Datasets/Synthetic/Erdos-Renyi_directed_ef_9_v_18.edgelist,XY
0,TORUS,OFF,ON,4,35935,2621545,2621545,0,524366,524366,0,75.3263,0,1776018,0,75507397,64,64,20,20,1,ON,1,431800,45,728000,826.019749361433,0.004347254404929231,3.5935e-05,64.0256,262249,262144,2359296,PATH-TO/Datasets/Synthetic/Erdos-Renyi_directed_ef_9_v_18.edgelist,XY
1,TORUS,OFF,ON,4,13373,2621545,2621545,0,524366,524366,0,73.378,0,1689944,0,150966592,128,128,20,20,1,ON,1,431800,90,112000,538.9984495005268,0.003509722715768512,1.3373e-05,16.0064,262249,262144,2359296,PATH-TO/Datasets/Synthetic/Erdos-Renyi_directed_ef_9_v_18.edgelist,XY
1,TORUS,OFF,ON,4,229341,2621545,2621545,0,524366,524366,0,85.3406,0,1624079,0,18873227,16,16,20,20,1,ON,1,431800,11,3148000,221.3577411844046,0.0022208613552656357,0.000229341,1024.41,262249,262144,2359296,PATH-TO/Datasets/Synthetic/Erdos-Renyi_directed_ef_9_v_18.edgelist,XY
1,TORUS,OFF,ON,4,88004,2621545,2621545,0,524366,524366,0,81.1037,0,1822470,0,37754242,32,32,20,20,1,ON,1,431800,22,1112000,314.23534829926245,0.00266461224899506,8.8004e-05,256.103,262249,262144,2359296,PATH-TO/Datasets/Synthetic/Erdos-Renyi_directed_ef_9_v_18.edgelist,XY
1,TORUS,OFF,ON,4,35456,2621545,2621545,0,524366,524366,0,75.9369,0,1759678,0,75529425,64,64,20,20,1,ON,1,431800,45,728000,826.019749361433,0.004347764160627609,3.5456e-05,64.0256,262249,262144,2359296,PATH-TO/Datasets/Synthetic/Erdos-Renyi_directed_ef_9_v_18.edgelist,XY
2,TORUS,OFF,ON,4,13468,2621545,2621545,0,524366,524366,0,73.4984,0,1693534,0,151003879,128,128,20,20,1,ON,1,431800,90,112000,538.9984495005268,0.0035106715284146054,1.3468e-05,16.0064,262249,262144,2359296,PATH-TO/Datasets/Synthetic/Erdos-Renyi_directed_ef_9_v_18.edgelist,XY
2,TORUS,OFF,ON,4,233614,2621545,2621545,0,524366,524366,0,84.1272,0,1621425,0,18876523,16,16,20,20,1,ON,1,431800,11,3148000,221.3577411844046,0.002223005147483628,0.000233614,1024.41,262249,262144,2359296,PATH-TO/Datasets/Synthetic/Erdos-Renyi_directed_ef_9_v_18.edgelist,XY
