trail,network,termination,throttle,recv_buff_size,total_cycles,actions_created,actions_performed,actions_false_pred,diffusions_created,diffusions_performed,diffusions_false_pred,avg_cells_active_percent,diffusions_filtered,actions_overlaped,diffusions_pruned,operons_moved,dim_x,dim_y,min_edges,max_edges,vicinity,pruning,rpvo_max,rhizome_cuttoff,congestion_threshold_value,memory_cc,chip_area,totE,time,avg_objects_per_cc,total_objects_created,vertices,edges,graph_file,routing_algorithm
0,MESH,OFF,ON,4,29851,6299653,1139401,5160252,1139401,700564,2317,82.4687,436520,4419338,438837,543034401,128,128,20,20,1,ON,1,431800,181,82000,398.2513904392594,0.005462609990526929,2.9851e-05,16.0064,262249,262144,2359296,PATH-TO/Datasets/Synthetic/Erdos-Renyi_directed_ef_9_v_18.edgelist,XY
0,TORUS,OFF,ON,4,14968,5793893,1030077,4763816,1030077,644380,4184,88.3889,381513,4336842,385697,370931954,128,128,20,20,1,ON,1,431800,90,82000,404.3354358018968,0.007432333924716905,1.4968e-05,16.0064,262249,262144,2359296,PATH-TO/Datasets/Synthetic/Erdos-Renyi_directed_ef_9_v_18.edgelist,XY
0,MESH,OFF,ON,4,219114,6130060,1151801,4978259,1151801,681184,17344,92.787,453273,4211104,470617,65006722,16,16,20,20,1,ON,1,431800,22,3148000,221.2626779756134,0.003981974897747222,0.000219114,1024.41,262249,262144,2359296,PATH-TO/Datasets/Synthetic/Erdos-Renyi_directed_ef_9_v_18.edgelist,XY
0,TORUS,OFF,ON,4,109048,5423700,1002256,4421444,1002256,602428,52089,99.1259,347739,3561943,399828,43376024,16,16,20,20,1,ON,1,431800,11,3148000,221.3577411844046,0.004905767990013124,0.000109048,1024.41,262249,262144,2359296,PATH-TO/Datasets/Synthetic/Erdos-Renyi_directed_ef_9_v_18.edgelist,XY
0,MESH,OFF,ON,4,111907,6057472,1146698,4910774,1146698,673016,6380,90.8351,467302,4445224,473682,129438539,32,32,20,20,1,ON,1,431800,45,812000,229.6907119024537,0.003994210166779776,0.000111907,256.103,262249,262144,2359296,PATH-TO/Datasets/Synthetic/Erdos-Renyi_directed_ef_9_v_18.edgelist,XY
0,TORUS,OFF,ON,4,57421,5484352,1013191,4471161,1013191,609858,12671,97.2954,390662,4432313,403333,87703310,32,32,20,20,1,ON,1,431800,22,812000,230.07096473761854,0.005200029502448898,5.7421e-05,256.103,262249,262144,2359296,PATH-TO/Datasets/Synthetic/Erdos-Renyi_directed_ef_9_v_18.edgelist,XY
0,MESH,OFF,ON,4,52287,5540282,1012000,4528282,1012000,615783,3190,86.7555,393027,4049744,396217,237928975,64,64,20,20,1,ON,1,431800,90,428000,487.8412037741984,0.0053231244494775535,5.2287e-05,64.0256,262249,262144,2359296,PATH-TO/Datasets/Synthetic/Erdos-Renyi_directed_ef_9_v_18.edgelist,XY
0,TORUS,OFF,ON,4,28885,5591139,1021783,4569356,1021783,621702,6038,94.5261,394043,4473990,400081,178869051,64,64,20,20,1,ON,1,431800,45,428000,489.3622151148577,0.007837053377679764,2.8885e-05,64.0256,262249,262144,2359296,PATH-TO/Datasets/Synthetic/Erdos-Renyi_directed_ef_9_v_18.edgelist,XY
1,MESH,OFF,ON,4,31745,6414926,1166696,5248230,1166696,713358,2286,79.3234,451052,4540177,453338,552685437,128,128,20,20,1,ON,1,431800,181,82000,398.2513904392594,0.0055606802803070884,3.1745e-05,16.0064,262249,262144,2359296,PATH-TO/Datasets/Synthetic/Erdos-Renyi_directed_ef_9_v_18.edgelist,XY
1,TORUS,OFF,ON,4,14651,5746867,1023941,4722926,1023941,638963,4054,89.9748,380924,4290080,384978,367822956,128,128,20,20,1,ON,1,431800,90,82000,404.3354358018968,0.007369922302917642,1.4651e-05,16.0064,262249,262144,2359296,PATH-TO/Datasets/Synthetic/Erdos-Renyi_directed_ef_9_v_18.edgelist,XY
1,MESH,OFF,ON,4,231069,6510542,1216114,5294428,1216114,723348,17656,92.903,475110,4448263,492766,68948273,16,16,20,20,1,ON,1,431800,22,3148000,221.2626779756134,0.004222861194480603,0.000231069,1024.41,262249,262144,2359296,PATH-TO/Datasets/Synthetic/Erdos-Renyi_directed_ef_9_v_18.edgelist,XY
1,TORUS,OFF,ON,4,110062,5447288,1007131,4440157,1007131,605374,52822,98.6336,348935,3578232,401757,43543195,16,16,20,20,1,ON,1,431800,11,3148000,221.3577411844046,0.004924933974892741,0.000110062,1024.41,262249,262144,2359296,PATH-TO/Datasets/Synthetic/Erdos-Renyi_directed_ef_9_v_18.edgelist,XY
1,MESH,OFF,ON,4,119550,6395141,1205171,5189970,1205171,710536,6669,89.6874,487966,4675392,494635,136732826,32,32,20,20,1,ON,1,431800,45,812000,229.6907119024537,0.0042198315192068,0.00011955,256.103,262249,262144,2359296,PATH-TO/Datasets/Synthetic/Erdos-Renyi_directed_ef_9_v_18.edgelist,XY
1,TORUS,OFF,ON,4,58278,5581307,1042756,4538551,1042756,620340,13043,97.3024,409373,4504582,422416,89272655,32,32,20,20,1,ON,1,431800,22,812000,230.07096473761854,0.005293053373218203,5.8278e-05,256.103,262249,262144,2359296,PATH-TO/Datasets/Synthetic/Erdos-Renyi_directed_ef_9_v_18.edgelist,XY
1,MESH,OFF,ON,4,54617,5811078,1066112,4744966,1066112,645882,3380,87.1079,416850,4248042,420230,249550356,64,64,20,20,1,ON,1,431800,90,428000,487.8412037741984,0.005582946102647522,5.4617e-05,64.0256,262249,262144,2359296,PATH-TO/Datasets/Synthetic/Erdos-Renyi_directed_ef_9_v_18.edgelist,XY
1,TORUS,OFF,ON,4,27366,5250360,946310,4304050,946310,583293,5377,93.6881,357640,4209245,363017,168029679,64,64,20,20,1,ON,1,431800,45,428000,489.3622151148577,0.0073622737456751014,2.7366e-05,64.0256,262249,262144,2359296,PATH-TO/Datasets/Synthetic/Erdos-Renyi_directed_ef_9_v_18.edgelist,XY
2,MESH,OFF,ON,4,30576,6488169,1178492,5309677,1178492,721550,2265,83.0746,454677,4538986,456942,559204484,128,128,20,20,1,ON,1,431800,181,82000,398.2513904392594,0.005625184297751351,3.0576e-05,16.0064,262249,262144,2359296,PATH-TO/Datasets/Synthetic/Erdos-Renyi_directed_ef_9_v_18.edgelist,XY
2,TORUS,OFF,ON,4,14788,5820233,1031934,4788299,1031934,647314,4170,89.5078,380450,4352872,384620,372720633,128,128,20,20,1,ON,1,431800,90,82000,404.3354358018968,0.007467979990123932,1.4788e-05,16.0064,262249,262144,2359296,PATH-TO/Datasets/Synthetic/Erdos-Renyi_directed_ef_9_v_18.edgelist,XY
2,MESH,OFF,ON,4,215473,5988563,1137553,4851010,1137553,665208,17367,93.0888,454978,4148514,472345,63445312,16,16,20,20,1,ON,1,431800,22,3148000,221.2626779756134,0.0038870829845007774,0.000215473,1024.41,262249,262144,2359296,PATH-TO/Datasets/Synthetic/Erdos-Renyi_directed_ef_9_v_18.edgelist,XY
