trail,network,termination,throttle,recv_buff_size,total_cycles,actions_created,actions_performed,actions_false_pred,diffusions_created,diffusions_performed,diffusions_false_pred,avg_cells_active_percent,diffusions_filtered,actions_overlaped,diffusions_pruned,operons_moved,dim_x,dim_y,min_edges,max_edges,vicinity,pruning,rpvo_max,rhizome_cuttoff,congestion_threshold_value,memory_cc,chip_area,totE,time,avg_objects_per_cc,total_objects_created,vertices,edges,graph_file,routing_algorithm
0,MESH,OFF,ON,4,549106,104216509,10165181,94051328,10165181,7409370,5639,78.0439,2750172,77517374,2755811,8814502965,128,128,50,100,7,ON,16,869,181,424304,1934.7743318091223,0.19617499972462774,0.000549106,326.783,5354018,4847571,68993773,PATH-TO/Datasets/muchiSim/liveJournal.edgelist,XY
0,TORUS,OFF,ON,4,287074,104585916,10028063,94557853,10028063,7441676,8566,91.1127,2577821,81479631,2586387,6597673729,128,128,50,100,7,ON,16,869,90,424304,1940.8583771717597,0.2897691647222065,0.000287074,326.783,5354018,4847571,68993773,PATH-TO/Datasets/muchiSim/liveJournal.edgelist,XY
0,MESH,OFF,ON,4,2183294,110314849,11149154,99165695,11149154,7813488,25062,85.1479,3310604,82608848,3335666,2321551111,32,32,50,100,5,ON,16,869,45,6108864,1715.7150231353303,0.19973741362297584,0.002183294,5228.53,5354018,4847571,68993773,PATH-TO/Datasets/muchiSim/liveJournal.edgelist,XY
0,TORUS,OFF,ON,4,1242394,113884544,11165934,102718610,11165934,8079570,48485,94.3858,3037879,94240527,3086364,1797456305,32,32,50,100,5,ON,16,869,22,6108864,1716.095275970495,0.2929259391974203,0.001242394,5228.53,5354018,4847571,68993773,PATH-TO/Datasets/muchiSim/liveJournal.edgelist,XY
0,MESH,OFF,ON,4,1115298,107358815,10602276,96756539,10602276,7596698,10589,81.1016,2994989,80991029,3005578,4533052842,64,64,50,100,6,ON,16,869,90,1588608,1790.2659621303628,0.19590297613745258,0.001115298,1307.13,5354018,4847571,68993773,PATH-TO/Datasets/muchiSim/liveJournal.edgelist,XY
0,TORUS,OFF,ON,4,585026,105094687,10194019,94900668,10194019,7502475,16972,93.5713,2674572,85737202,2691544,3315668578,64,64,50,100,6,ON,16,869,45,1588608,1791.7869734710223,0.27862982939940767,0.000585026,1307.13,5354018,4847571,68993773,PATH-TO/Datasets/muchiSim/liveJournal.edgelist,XY
1,MESH,OFF,ON,4,543508,105175038,10277180,94897858,10277180,7495737,5763,79.1842,2775680,77733864,2781443,8897057839,128,128,50,100,7,ON,16,869,181,424304,1934.7743318091223,0.1979738515024947,0.000543508,326.783,5354018,4847571,68993773,PATH-TO/Datasets/muchiSim/liveJournal.edgelist,XY
1,TORUS,OFF,ON,4,282155,101170456,9646840,91523616,9646840,7218480,8048,89.5953,2420312,78924863,2428360,6382389701,128,128,50,100,7,ON,16,869,90,424304,1940.8583771717597,0.28032960640045795,0.000282155,326.783,5354018,4847571,68993773,PATH-TO/Datasets/muchiSim/liveJournal.edgelist,XY
1,MESH,OFF,ON,4,2289043,116609963,11818863,104791100,11818863,8149366,26772,85.8652,3642725,87802507,3669497,2454538037,32,32,50,100,5,ON,16,869,45,6108864,1715.7150231353303,0.211116848976174,0.002289043,5228.53,5354018,4847571,68993773,PATH-TO/Datasets/muchiSim/liveJournal.edgelist,XY
1,TORUS,OFF,ON,4,1219645,112024663,10960293,101064370,10960293,7933450,47029,94.7616,2979814,93054927,3026843,1767777750,32,32,50,100,5,ON,16,869,22,6108864,1716.095275970495,0.2880820669620503,0.001219645,5228.53,5354018,4847571,68993773,PATH-TO/Datasets/muchiSim/liveJournal.edgelist,XY
1,MESH,OFF,ON,4,1114676,108870589,10841043,98029546,10841043,7725129,10890,81.9968,3105024,82093769,3115914,4599205804,64,64,50,100,6,ON,16,869,90,1588608,1790.2659621303628,0.19870539501043485,0.001114676,1307.13,5354018,4847571,68993773,PATH-TO/Datasets/muchiSim/liveJournal.edgelist,XY
1,TORUS,OFF,ON,4,591606,107150178,10359251,96790927,10359251,7609681,17400,93.968,2732170,87590437,2749570,3380630539,64,64,50,100,6,ON,16,869,45,1588608,1791.7869734710223,0.28407230961601765,0.000591606,1307.13,5354018,4847571,68993773,PATH-TO/Datasets/muchiSim/liveJournal.edgelist,XY
2,MESH,OFF,ON,4,525200,102300637,9964992,92335645,9964992,7291240,5540,79.8213,2668212,75778678,2673752,8643557338,128,128,50,100,7,ON,16,869,181,424304,1934.7743318091223,0.19232320587135104,0.0005252,326.783,5354018,4847571,68993773,PATH-TO/Datasets/muchiSim/liveJournal.edgelist,XY
2,TORUS,OFF,ON,4,279884,100876118,9612440,91263678,9612440,7208551,8037,90.3001,2395852,78684210,2403889,6363813569,128,128,50,100,7,ON,16,869,90,424304,1940.8583771717597,0.27950847240437166,0.000279884,326.783,5354018,4847571,68993773,PATH-TO/Datasets/muchiSim/liveJournal.edgelist,XY
2,MESH,OFF,ON,4,2225193,113144273,11497344,101646929,11497344,7978092,26156,85.7659,3493096,84847638,3519252,2382481350,32,32,50,100,5,ON,16,869,45,6108864,1715.7150231353303,0.20492998916263794,0.002225193,5228.53,5354018,4847571,68993773,PATH-TO/Datasets/muchiSim/liveJournal.edgelist,XY
2,TORUS,OFF,ON,4,1231551,112852805,11050292,101802513,11050292,8035605,46847,94.492,2967840,93422648,3014687,1781006382,32,32,50,100,5,ON,16,869,22,6108864,1716.095275970495,0.29024681544076747,0.001231551,5228.53,5354018,4847571,68993773,PATH-TO/Datasets/muchiSim/liveJournal.edgelist,XY
2,MESH,OFF,ON,4,1114002,108248808,10743205,97505603,10743205,7701239,10629,81.7385,3031337,81289503,3041966,4569646554,64,64,50,100,6,ON,16,869,90,1588608,1790.2659621303628,0.19745018657467237,0.001114002,1307.13,5354018,4847571,68993773,PATH-TO/Datasets/muchiSim/liveJournal.edgelist,XY
2,TORUS,OFF,ON,4,608297,109658260,10706924,98951336,10706924,7817912,18285,93.7217,2870727,89728235,2889012,3460116274,64,64,50,100,6,ON,16,869,45,1588608,1791.7869734710223,0.2907612224466,0.000608297,1307.13,5354018,4847571,68993773,PATH-TO/Datasets/muchiSim/liveJournal.edgelist,XY
0,MESH,OFF,ON,4,4268754,120692143,12283634,108408509,12283634,8473685,82252,92.2232,3727697,88184572,3809949,1261789160,16,16,50,100,4,ON,1,13900,22,22217728,1558.755929482463,0.21219534156742165,0.004268754,20908.1,5352469,4847571,68993773,PATH-TO/Datasets/muchiSim/liveJournal.edgelist,XY
0,TORUS,OFF,ON,4,2493704,118053484,11470377,106583107,11470377,8312915,186641,96.4257,2970821,89467254,3157462,932168691,16,16,50,100,4,ON,1,13900,11,22217728,1558.850992691254,0.2837409160742965,0.002493704,20908.1,5352469,4847571,68993773,PATH-TO/Datasets/muchiSim/liveJournal.edgelist,XY
1,MESH,OFF,ON,4,4242314,119681916,12048982,107632934,12048982,8405823,78564,92.1362,3564595,87198094,3643159,1251160439,16,16,50,100,4,ON,1,13900,22,22217728,1558.755929482463,0.2104352482186494,0.004242314,20908.1,5352469,4847571,68993773,PATH-TO/Datasets/muchiSim/liveJournal.edgelist,XY
1,TORUS,OFF,ON,4,2459321,117004520,11456348,105548172,11456348,8289180,186658,96.8601,2980510,88505949,3167168,923996293,16,16,50,100,4,ON,1,13900,11,22217728,1558.850992691254,0.2812169626020133,0.002459321,20908.1,5352469,4847571,68993773,PATH-TO/Datasets/muchiSim/liveJournal.edgelist,XY
