trail,network,termination,throttle,recv_buff_size,total_cycles,actions_created,actions_performed,actions_false_pred,diffusions_created,diffusions_performed,diffusions_false_pred,avg_cells_active_percent,diffusions_filtered,actions_overlaped,diffusions_pruned,operons_moved,dim_x,dim_y,min_edges,max_edges,vicinity,pruning,rpvo_max,rhizome_cuttoff,congestion_threshold_value,memory_cc,chip_area,totE,time,avg_objects_per_cc,total_objects_created,vertices,edges,graph_file,routing_algorithm
0,TORUS,OFF,ON,4,374640,73961856,73961856,0,9616976,9616976,0,79.5195,0,52239372,0,4370305646,128,128,60,100,2,ON,16,869,90,424304,1940.8583771717597,0.1929253783418436,0.00037464,323.011,5292216,4847571,68993773,PATH-TO/Datasets/muchiSim/liveJournal.edgelist,XY
0,TORUS,OFF,ON,4,2312897,73961856,73961856,0,9616976,9616976,0,81.5395,0,53936309,0,1093128740,32,32,60,100,2,ON,16,869,22,8108864,2277.1911663814544,0.21259230241845709,0.002312897,5168.18,5292216,4847571,68993773,PATH-TO/Datasets/muchiSim/liveJournal.edgelist,XY
0,TORUS,OFF,ON,4,926422,73961856,73961856,0,9616976,9616976,0,79.3125,0,53818222,0,2185455692,64,64,60,100,2,ON,16,869,45,2588608,2913.9787542929394,0.23787855319576875,0.000926422,1292.04,5292216,4847571,68993773,PATH-TO/Datasets/muchiSim/liveJournal.edgelist,XY
1,TORUS,OFF,ON,4,378680,73961856,73961856,0,9616976,9616976,0,78.2338,0,52014791,0,4370392269,128,128,60,100,2,ON,16,869,90,424304,1940.8583771717597,0.19294364960915864,0.00037868,323.011,5292216,4847571,68993773,PATH-TO/Datasets/muchiSim/liveJournal.edgelist,XY
1,TORUS,OFF,ON,4,2301522,73961856,73961856,0,9616976,9616976,0,81.7343,0,54098468,0,1093294235,32,32,60,100,2,ON,16,869,22,8108864,2277.1911663814544,0.21257419151080198,0.002301522,5168.18,5292216,4847571,68993773,PATH-TO/Datasets/muchiSim/liveJournal.edgelist,XY
1,TORUS,OFF,ON,4,908500,73961856,73961856,0,9616976,9616976,0,79.9336,0,53754949,0,2185518586,64,64,60,100,2,ON,16,869,45,2588608,2913.9787542929394,0.2377872320150565,0.0009085,1292.04,5292216,4847571,68993773,PATH-TO/Datasets/muchiSim/liveJournal.edgelist,XY
2,TORUS,OFF,ON,4,2305106,73961856,73961856,0,9616976,9616976,0,81.6958,0,54152183,0,1093131344,32,32,60,100,2,ON,16,869,22,8108864,2277.1911663814544,0.2125594190271565,0.002305106,5168.18,5292216,4847571,68993773,PATH-TO/Datasets/muchiSim/liveJournal.edgelist,XY
2,TORUS,OFF,ON,4,918526,73961856,73961856,0,9616976,9616976,0,80.0214,0,54267877,0,2185568291,64,64,60,100,2,ON,16,869,45,2588608,2913.9787542929394,0.23784734096943413,0.000918526,1292.04,5292216,4847571,68993773,PATH-TO/Datasets/muchiSim/liveJournal.edgelist,XY
3,TORUS,OFF,ON,4,371273,73961856,73961856,0,9616976,9616976,0,79.3259,0,51686104,0,4370655654,128,128,60,100,2,ON,16,869,90,424304,1940.8583771717597,0.1929286056023983,0.000371273,323.011,5292216,4847571,68993773,PATH-TO/Datasets/muchiSim/liveJournal.edgelist,XY
3,TORUS,OFF,ON,4,2311391,73961856,73961856,0,9616976,9616976,0,81.7023,0,53928862,0,1093159261,32,32,60,100,2,ON,16,869,22,8108864,2277.1911663814544,0.21259149676454542,0.002311391,5168.18,5292216,4847571,68993773,PATH-TO/Datasets/muchiSim/liveJournal.edgelist,XY
3,TORUS,OFF,ON,4,915612,73961856,73961856,0,9616976,9616976,0,79.8297,0,54031042,0,2185526185,64,64,60,100,2,ON,16,869,45,2588608,2913.9787542929394,0.23782693110915834,0.000915612,1292.04,5292216,4847571,68993773,PATH-TO/Datasets/muchiSim/liveJournal.edgelist,XY
0,TORUS,OFF,ON,4,388766,73957135,73957135,0,9614129,9614129,0,76.5512,0,50835663,0,4370276415,128,128,60,100,2,ON,1,13900,90,424304,1940.8583771717597,0.19297471232681046,0.000388766,322.917,5290667,4847571,68993773,PATH-TO/Datasets/muchiSim/liveJournal.edgelist,XY
0,TORUS,OFF,ON,4,5717155,73957135,73957135,0,9614129,9614129,0,86.1917,0,52844068,0,546942981,16,16,60,100,2,ON,1,13900,11,22217728,1558.850992691254,0.1792818177964323,0.005717155,20666.7,5290667,4847571,68993773,PATH-TO/Datasets/muchiSim/liveJournal.edgelist,XY
0,TORUS,OFF,ON,4,2307898,73957135,73957135,0,9614129,9614129,0,81.4204,0,54070120,0,1093070592,32,32,60,100,2,ON,1,13900,22,8108864,2277.1911663814544,0.21256010659294874,0.002307898,5166.67,5290667,4847571,68993773,PATH-TO/Datasets/muchiSim/liveJournal.edgelist,XY
0,TORUS,OFF,ON,4,913792,73957135,73957135,0,9614129,9614129,0,79.9418,0,53327480,0,2185394068,64,64,60,100,2,ON,1,13900,45,2588608,2913.9787542929394,0.23780290252010516,0.000913792,1291.67,5290667,4847571,68993773,PATH-TO/Datasets/muchiSim/liveJournal.edgelist,XY
1,TORUS,OFF,ON,4,5720202,73957135,73957135,0,9614129,9614129,0,86.0603,0,52826789,0,546931821,16,16,60,100,2,ON,1,13900,11,22217728,1558.850992691254,0.1792874513036209,0.005720202,20666.7,5290667,4847571,68993773,PATH-TO/Datasets/muchiSim/liveJournal.edgelist,XY
1,TORUS,OFF,ON,4,910106,73957135,73957135,0,9614129,9614129,0,79.6472,0,53689589,0,2185634263,64,64,60,100,2,ON,1,13900,45,2588608,2913.9787542929394,0.23780827275017521,0.000910106,1291.67,5290667,4847571,68993773,PATH-TO/Datasets/muchiSim/liveJournal.edgelist,XY
2,TORUS,OFF,ON,4,5716661,73957135,73957135,0,9614129,9614129,0,86.1778,0,52799253,0,546872912,16,16,60,100,2,ON,1,13900,11,22217728,1558.850992691254,0.1792596200470406,0.005716661,20666.7,5290667,4847571,68993773,PATH-TO/Datasets/muchiSim/liveJournal.edgelist,XY
