trail,network,termination,throttle,recv_buff_size,total_cycles,actions_created,actions_performed,actions_false_pred,diffusions_created,diffusions_performed,diffusions_false_pred,avg_cells_active_percent,diffusions_filtered,actions_overlaped,diffusions_pruned,operons_moved,dim_x,dim_y,min_edges,max_edges,vicinity,pruning,rpvo_max,rhizome_cuttoff,congestion_threshold_value,memory_cc,chip_area,totE,time,avg_objects_per_cc,total_objects_created,vertices,edges,graph_file,routing_algorithm
0,TORUS,OFF,ON,4,10948553,536928544,53429242,483499302,53429242,34166173,1086461,98.5783,18176608,435149624,19263069,4238891137,16,16,50,100,4,ON,1,13900,11,29217728,2049.809896800843,1.483399399688966,0.010948553,20908.1,5352469,4847571,68993773,PATH-TO/Datasets/muchiSim/liveJournal.edgelist,XY
1,TORUS,OFF,ON,4,10119515,496682924,50219295,446463629,50219295,31698728,1054169,98.387,17466398,398594907,18520567,3920918190,16,16,50,100,4,ON,1,13900,11,29217728,2049.809896800843,1.372098634395995,0.010119515,20908.1,5352469,4847571,68993773,PATH-TO/Datasets/muchiSim/liveJournal.edgelist,XY
2,TORUS,OFF,ON,4,10786063,529870338,52444195,477426143,52444195,33654966,1058469,98.4875,17730760,425568716,18789229,4182328684,16,16,50,100,4,ON,1,13900,11,29217728,2049.809896800843,1.4635411947553936,0.010786063,20908.1,5352469,4847571,68993773,PATH-TO/Datasets/muchiSim/liveJournal.edgelist,XY
0,TORUS,OFF,ON,4,1183448,528311894,52546308,475765586,52546308,32797169,61357,97.0411,19687782,434077153,19749139,33319968156,128,128,50,100,7,ON,1,20300,90,664304,3018.1624867608007,1.8246397958239995,0.001183448,326.689,5352469,4847571,68993773,PATH-TO/Datasets/muchiSim/liveJournal.edgelist,XY
0,TORUS,OFF,ON,4,6022736,583834303,56283978,527550325,56283978,36707849,285386,97.8813,19290743,513118519,19576129,9210241339,32,32,50,100,5,ON,1,20300,22,7308864,2052.752810217071,1.6422013141037368,0.006022736,5227.02,5352469,4847571,68993773,PATH-TO/Datasets/muchiSim/liveJournal.edgelist,XY
0,TORUS,OFF,ON,4,2905478,595485464,57116880,538368584,57116880,37172991,121740,97.5307,19822149,514585953,19943889,18778728774,64,64,50,100,6,ON,1,20300,45,1888608,2128.4445077175974,1.7192214770210512,0.002905478,1306.76,5352469,4847571,68993773,PATH-TO/Datasets/muchiSim/liveJournal.edgelist,XY
1,TORUS,OFF,ON,4,1290715,570797838,55019003,515778835,55019003,35503235,61076,96.2892,19454692,460574105,19515768,35991628817,128,128,50,100,7,ON,1,20300,90,664304,3018.1624867608007,1.9710049028211443,0.001290715,326.689,5352469,4847571,68993773,PATH-TO/Datasets/muchiSim/liveJournal.edgelist,XY
1,TORUS,OFF,ON,4,5970477,577229967,56524424,520705543,56524424,36221998,295199,97.5711,20007227,509393241,20302426,9104382506,32,32,50,100,5,ON,1,20300,22,7308864,2052.752810217071,1.6233963429344207,0.005970477,5227.02,5352469,4847571,68993773,PATH-TO/Datasets/muchiSim/liveJournal.edgelist,XY
1,TORUS,OFF,ON,4,2513080,510372334,50964977,459407357,50964977,31891159,117059,97.1503,18956759,440118940,19073818,16094552588,64,64,50,100,6,ON,1,20300,45,1888608,2128.4445077175974,1.4735815827181433,0.00251308,1306.76,5352469,4847571,68993773,PATH-TO/Datasets/muchiSim/liveJournal.edgelist,XY
2,TORUS,OFF,ON,4,5816686,566795417,55358928,511436489,55358928,35865667,285503,97.9331,19207758,495734450,19493261,8941624549,32,32,50,100,5,ON,1,20300,22,7308864,2052.752810217071,1.594192397295014,0.005816686,5227.02,5352469,4847571,68993773,PATH-TO/Datasets/muchiSim/liveJournal.edgelist,XY
2,TORUS,OFF,ON,4,2602680,526610204,51783337,474826867,51783337,32960508,114250,96.8406,18708579,454275333,18822829,16610806372,64,64,50,100,6,ON,1,20300,45,1888608,2128.4445077175974,1.5208803930799972,0.00260268,1306.76,5352469,4847571,68993773,PATH-TO/Datasets/muchiSim/liveJournal.edgelist,XY
3,TORUS,OFF,ON,4,5862556,571842951,55613138,516229813,55613138,36038026,286134,98.0733,19288978,499503319,19575112,9021297592,32,32,50,100,5,ON,1,20300,22,7308864,2052.752810217071,1.6083731174849643,0.005862556,5227.02,5352469,4847571,68993773,PATH-TO/Datasets/muchiSim/liveJournal.edgelist,XY
3,TORUS,OFF,ON,4,2584433,525740340,52098529,473641811,52098529,32946402,117456,97.2816,19034671,453123124,19152127,16582838840,64,64,50,100,6,ON,1,20300,45,1888608,2128.4445077175974,1.518266261367168,0.002584433,1306.76,5352469,4847571,68993773,PATH-TO/Datasets/muchiSim/liveJournal.edgelist,XY
