trail,network,termination,throttle,recv_buff_size,total_cycles,actions_created,actions_performed,actions_false_pred,diffusions_created,diffusions_performed,diffusions_false_pred,avg_cells_active_percent,diffusions_filtered,actions_overlaped,diffusions_pruned,operons_moved,dim_x,dim_y,min_edges,max_edges,vicinity,pruning,rpvo_max,rhizome_cuttoff,congestion_threshold_value,memory_cc,chip_area,totE,time,avg_objects_per_cc,total_objects_created,vertices,edges,graph_file,routing_algorithm
0,TORUS,OFF,ON,4,10902,1613769,1613769,0,802086,802086,0,50.5706,0,172945,0,51963787,128,128,20,45,2,ON,1,431800,90,52000,269.6724221032666,0.0008634964069907517,1.0902e-05,24.9404,408624,399130,1216334,PATH-TO/Datasets/Real/language.edgelist,XY
0,TORUS,OFF,ON,4,164878,1613769,1613769,0,802086,802086,0,92.6357,0,201410,0,6511104,16,16,20,45,2,ON,1,431800,11,1148000,81.08376858166491,0.00047675630643077913,0.000164878,1596.19,408624,399130,1216334,PATH-TO/Datasets/Real/language.edgelist,XY
0,TORUS,OFF,ON,4,60510,1613769,1613769,0,802086,802086,0,83.901,0,381150,0,13001571,32,32,20,45,2,ON,1,431800,22,512000,145.9065811759747,0.0006369628294563548,6.051e-05,399.047,408624,399130,1216334,PATH-TO/Datasets/Real/language.edgelist,XY
0,TORUS,OFF,ON,4,27182,1613769,1613769,0,802086,802086,0,64.4944,0,368593,0,26005683,64,64,20,45,2,ON,1,431800,45,328000,377.143037032666,0.001025160402253237,2.7182e-05,99.7617,408624,399130,1216334,PATH-TO/Datasets/Real/language.edgelist,XY
1,TORUS,OFF,ON,4,11116,1613769,1613769,0,802086,802086,0,49.7872,0,178520,0,51973897,128,128,20,45,2,ON,1,431800,90,52000,269.6724221032666,0.0008637551649784411,1.1116e-05,24.9404,408624,399130,1216334,PATH-TO/Datasets/Real/language.edgelist,XY
1,TORUS,OFF,ON,4,164341,1613769,1613769,0,802086,802086,0,93.6035,0,210284,0,6507219,16,16,20,45,2,ON,1,431800,11,1148000,81.08376858166491,0.00047641253926855327,0.000164341,1596.19,408624,399130,1216334,PATH-TO/Datasets/Real/language.edgelist,XY
1,TORUS,OFF,ON,4,61027,1613769,1613769,0,802086,802086,0,82.028,0,374805,0,13004710,32,32,20,45,2,ON,1,431800,22,512000,145.9065811759747,0.0006372495528680051,6.1027e-05,399.047,408624,399130,1216334,PATH-TO/Datasets/Real/language.edgelist,XY
1,TORUS,OFF,ON,4,26421,1613769,1613769,0,802086,802086,0,67.0153,0,395942,0,25997998,64,64,20,45,2,ON,1,431800,45,328000,377.143037032666,0.001024339281202215,2.6421e-05,99.7617,408624,399130,1216334,PATH-TO/Datasets/Real/language.edgelist,XY
2,TORUS,OFF,ON,4,11296,1613769,1613769,0,802086,802086,0,48.9933,0,185528,0,51961595,128,128,20,45,2,ON,1,431800,90,52000,269.6724221032666,0.0008636338154333022,1.1296e-05,24.9404,408624,399130,1216334,PATH-TO/Datasets/Real/language.edgelist,XY
2,TORUS,OFF,ON,4,164625,1613769,1613769,0,802086,802086,0,93.9074,0,213356,0,6506015,16,16,20,45,2,ON,1,431800,11,1148000,81.08376858166491,0.00047637427366800753,0.000164625,1596.19,408624,399130,1216334,PATH-TO/Datasets/Real/language.edgelist,XY
2,TORUS,OFF,ON,4,59038,1613769,1613769,0,802086,802086,0,85.7334,0,381704,0,12997944,32,32,20,45,2,ON,1,431800,22,512000,145.9065811759747,0.0006363950323159739,5.9038e-05,399.047,408624,399130,1216334,PATH-TO/Datasets/Real/language.edgelist,XY
2,TORUS,OFF,ON,4,25626,1613769,1613769,0,802086,802086,0,68.094,0,377621,0,25981296,64,64,20,45,2,ON,1,431800,45,328000,377.143037032666,0.0010231498504295574,2.5626e-05,99.7617,408624,399130,1216334,PATH-TO/Datasets/Real/language.edgelist,XY
3,TORUS,OFF,ON,4,10620,1613769,1613769,0,802086,802086,0,51.9295,0,174540,0,51981979,128,128,20,45,2,ON,1,431800,90,52000,269.6724221032666,0.000863668905928125,1.062e-05,24.9404,408624,399130,1216334,PATH-TO/Datasets/Real/language.edgelist,XY
3,TORUS,OFF,ON,4,163765,1613769,1613769,0,802086,802086,0,93.6922,0,208253,0,6504455,16,16,20,45,2,ON,1,431800,11,1148000,81.08376858166491,0.00047613856741999985,0.000163765,1596.19,408624,399130,1216334,PATH-TO/Datasets/Real/language.edgelist,XY
3,TORUS,OFF,ON,4,64054,1613769,1613769,0,802086,802086,0,79.5828,0,376304,0,13005389,32,32,20,45,2,ON,1,431800,22,512000,145.9065811759747,0.000638099835499579,6.4054e-05,399.047,408624,399130,1216334,PATH-TO/Datasets/Real/language.edgelist,XY
3,TORUS,OFF,ON,4,25063,1613769,1613769,0,802086,802086,0,68.2118,0,403526,0,25990011,64,64,20,45,2,ON,1,431800,45,328000,377.143037032666,0.0010230929523458434,2.5063e-05,99.7617,408624,399130,1216334,PATH-TO/Datasets/Real/language.edgelist,XY
