trail,network,termination,throttle,recv_buff_size,total_cycles,actions_created,actions_performed,actions_false_pred,diffusions_created,diffusions_performed,diffusions_false_pred,avg_cells_active_percent,diffusions_filtered,actions_overlaped,diffusions_pruned,operons_moved,dim_x,dim_y,min_edges,max_edges,vicinity,pruning,rpvo_max,rhizome_cuttoff,congestion_threshold_value,memory_cc,chip_area,totE,time,avg_objects_per_cc,total_objects_created,vertices,edges,graph_file,routing_algorithm
0,MESH,OFF,ON,4,8462,1891953,663002,1228951,663002,622160,2323,59.8666,38519,437204,40842,108075907,128,128,20,45,12,ON,1,431800,181,52000,263.58837674062926,0.0008895562181049835,8.462e-06,24.9404,408624,399130,1216334,PATH-TO/Datasets/Real/language.edgelist,XY
0,TORUS,OFF,ON,4,4720,1909682,663897,1245785,663897,635075,4228,62.323,24594,405983,28822,81675518,128,128,20,45,12,ON,1,431800,90,52000,269.6724221032666,0.0013414122195615236,4.72e-06,24.9404,408624,399130,1216334,PATH-TO/Datasets/Real/language.edgelist,XY
0,MESH,OFF,ON,4,43167,1767520,643198,1124322,643198,594892,15054,90.5578,33252,403026,48306,12475495,16,16,20,45,4,ON,1,431800,22,1148000,80.9887053728737,0.0004636882004577777,4.3167e-05,1596.19,408624,399130,1216334,PATH-TO/Datasets/Real/language.edgelist,XY
0,TORUS,OFF,ON,4,26551,1590072,566631,1023441,566631,535326,28576,97.4647,2729,67572,31305,8460176,16,16,20,45,4,ON,1,431800,11,1148000,81.08376858166491,0.0005825765251001191,2.6551e-05,1596.19,408624,399130,1216334,PATH-TO/Datasets/Real/language.edgelist,XY
0,MESH,OFF,ON,4,26167,1860842,685316,1175526,685316,625345,5264,78.8098,54707,572333,59971,26267138,32,32,20,45,6,ON,1,431800,45,512000,145.52632834080987,0.0006493405679729445,2.6167e-05,399.047,408624,399130,1216334,PATH-TO/Datasets/Real/language.edgelist,XY
0,TORUS,OFF,ON,4,14458,1866251,671235,1195016,671235,623590,10541,90.7217,37104,464121,47645,19909155,32,32,20,45,6,ON,1,431800,22,512000,145.9065811759747,0.0009442666604159529,1.4458e-05,399.047,408624,399130,1216334,PATH-TO/Datasets/Real/language.edgelist,XY
0,MESH,OFF,ON,4,14227,1804698,653598,1151100,653598,602260,2430,69.6151,48908,516057,51338,51099669,64,64,20,45,10,ON,1,431800,90,328000,375.6220256920066,0.0010084331075994135,1.4227e-05,99.7617,408624,399130,1216334,PATH-TO/Datasets/Real/language.edgelist,XY
0,TORUS,OFF,ON,4,7703,1747504,627953,1119551,627953,581590,4740,80.767,41623,537534,46363,37338917,64,64,20,45,10,ON,1,431800,45,328000,377.143037032666,0.0014408646786100091,7.703e-06,99.7617,408624,399130,1216334,PATH-TO/Datasets/Real/language.edgelist,XY
1,MESH,OFF,ON,4,8521,1846662,646571,1200091,646571,610715,2128,56.3422,33728,431556,35856,105527235,128,128,20,45,12,ON,1,431800,181,52000,263.58837674062926,0.0008686865123307648,8.521e-06,24.9404,408624,399130,1216334,PATH-TO/Datasets/Real/language.edgelist,XY
1,TORUS,OFF,ON,4,5087,1809122,625673,1183449,625673,596255,3542,59.4138,25876,392060,29418,77705745,128,128,20,45,12,ON,1,431800,90,52000,269.6724221032666,0.0012764264098822967,5.087e-06,24.9404,408624,399130,1216334,PATH-TO/Datasets/Real/language.edgelist,XY
