trail,network,termination,throttle,recv_buff_size,total_cycles,actions_created,actions_performed,actions_false_pred,diffusions_created,diffusions_performed,diffusions_false_pred,avg_cells_active_percent,diffusions_filtered,actions_overlaped,diffusions_pruned,operons_moved,dim_x,dim_y,min_edges,max_edges,vicinity,pruning,rpvo_max,rhizome_cuttoff,congestion_threshold_value,memory_cc,chip_area,totE,time,avg_objects_per_cc,total_objects_created,vertices,edges,graph_file,routing_algorithm
0,TORUS,OFF,ON,4,38745,5094839,5094839,0,591847,591847,0,65.4554,0,2783599,0,302183555,128,128,20,20,2,ON,1,431800,90,52000,269.6724221032666,0.00497863298510183,3.8745e-05,22.9643,376247,262144,4718592,PATH-TO/Datasets/Synthetic/RMAT_ef_9_v_18.edgelist,XY
0,TORUS,OFF,ON,4,348610,5094839,5094839,0,591847,591847,0,86.2843,0,3428297,0,37918710,16,16,20,20,2,ON,1,431800,11,1148000,81.08376858166491,0.0026516830518413257,0.00034861,1469.71,376247,262144,4718592,PATH-TO/Datasets/Synthetic/RMAT_ef_9_v_18.edgelist,XY
0,TORUS,OFF,ON,4,148311,5094839,5094839,0,591847,591847,0,79.0706,0,3500249,0,75662088,32,32,20,20,2,ON,1,431800,22,512000,145.9065811759747,0.003619612615648336,0.000148311,367.429,376247,262144,4718592,PATH-TO/Datasets/Synthetic/RMAT_ef_9_v_18.edgelist,XY
0,TORUS,OFF,ON,4,65326,5094839,5094839,0,591847,591847,0,74.0568,0,3079339,0,151217024,64,64,20,20,2,ON,1,431800,45,328000,377.143037032666,0.005864822137677211,6.5326e-05,91.8572,376247,262144,4718592,PATH-TO/Datasets/Synthetic/RMAT_ef_9_v_18.edgelist,XY
1,TORUS,OFF,ON,4,37927,5094839,5094839,0,591847,591847,0,66.5303,0,2792302,0,302160966,128,128,20,20,2,ON,1,431800,90,52000,269.6724221032666,0.0049779055040352115,3.7927e-05,22.9643,376247,262144,4718592,PATH-TO/Datasets/Synthetic/RMAT_ef_9_v_18.edgelist,XY
1,TORUS,OFF,ON,4,356045,5094839,5094839,0,591847,591847,0,85.2296,0,3405849,0,37923918,16,16,20,20,2,ON,1,431800,11,1148000,81.08376858166491,0.0026531617104627995,0.000356045,1469.71,376247,262144,4718592,PATH-TO/Datasets/Synthetic/RMAT_ef_9_v_18.edgelist,XY
1,TORUS,OFF,ON,4,146676,5094839,5094839,0,591847,591847,0,80.1379,0,3407462,0,75681236,32,32,20,20,2,ON,1,431800,22,512000,145.9065811759747,0.0036200667686600843,0.000146676,367.429,376247,262144,4718592,PATH-TO/Datasets/Synthetic/RMAT_ef_9_v_18.edgelist,XY
1,TORUS,OFF,ON,4,67601,5094839,5094839,0,591847,591847,0,71.4631,0,3117558,0,151178261,64,64,20,20,2,ON,1,431800,45,328000,377.143037032666,0.00586491644151214,6.7601e-05,91.8572,376247,262144,4718592,PATH-TO/Datasets/Synthetic/RMAT_ef_9_v_18.edgelist,XY
2,TORUS,OFF,ON,4,38273,5094839,5094839,0,591847,591847,0,65.8638,0,2801768,0,302151832,128,128,20,20,2,ON,1,431800,90,52000,269.6724221032666,0.004977908712416897,3.8273e-05,22.9643,376247,262144,4718592,PATH-TO/Datasets/Synthetic/RMAT_ef_9_v_18.edgelist,XY
2,TORUS,OFF,ON,4,351028,5094839,5094839,0,591847,591847,0,86.0669,0,3439828,0,37922594,16,16,20,20,2,ON,1,431800,11,1148000,81.08376858166491,0.0026523118581655318,0.000351028,1469.71,376247,262144,4718592,PATH-TO/Datasets/Synthetic/RMAT_ef_9_v_18.edgelist,XY
2,TORUS,OFF,ON,4,148004,5094839,5094839,0,591847,591847,0,80.4771,0,3542664,0,75677978,32,32,20,20,2,ON,1,431800,22,512000,145.9065811759747,0.003620273363236715,0.000148004,367.429,376247,262144,4718592,PATH-TO/Datasets/Synthetic/RMAT_ef_9_v_18.edgelist,XY
2,TORUS,OFF,ON,4,64003,5094839,5094839,0,591847,591847,0,75.4102,0,3144098,0,151213253,64,64,20,20,2,ON,1,431800,45,328000,377.143037032666,0.0058637612525941915,6.4003e-05,91.8572,376247,262144,4718592,PATH-TO/Datasets/Synthetic/RMAT_ef_9_v_18.edgelist,XY
3,TORUS,OFF,ON,4,40768,5094839,5094839,0,591847,591847,0,63.6239,0,2786887,0,302095123,128,128,20,20,2,ON,1,431800,90,52000,269.6724221032666,0.004978081032358592,4.0768e-05,22.9643,376247,262144,4718592,PATH-TO/Datasets/Synthetic/RMAT_ef_9_v_18.edgelist,XY
3,TORUS,OFF,ON,4,349905,5094839,5094839,0,591847,591847,0,86.2181,0,3445668,0,37916861,16,16,20,20,2,ON,1,431800,11,1148000,81.08376858166491,0.002651754465399416,0.000349905,1469.71,376247,262144,4718592,PATH-TO/Datasets/Synthetic/RMAT_ef_9_v_18.edgelist,XY
3,TORUS,OFF,ON,4,148706,5094839,5094839,0,591847,591847,0,78.6173,0,3420422,0,75675697,32,32,20,20,2,ON,1,431800,22,512000,145.9065811759747,0.003620356417677628,0.000148706,367.429,376247,262144,4718592,PATH-TO/Datasets/Synthetic/RMAT_ef_9_v_18.edgelist,XY
3,TORUS,OFF,ON,4,67662,5094839,5094839,0,591847,591847,0,73.0868,0,3040926,0,151158189,64,64,20,20,2,ON,1,431800,45,328000,377.143037032666,0.005864191286374494,6.7662e-05,91.8572,376247,262144,4718592,PATH-TO/Datasets/Synthetic/RMAT_ef_9_v_18.edgelist,XY
