trail,network,termination,throttle,recv_buff_size,total_cycles,actions_created,actions_performed,actions_false_pred,diffusions_created,diffusions_performed,diffusions_false_pred,avg_cells_active_percent,diffusions_filtered,actions_overlaped,diffusions_pruned,operons_moved,dim_x,dim_y,min_edges,max_edges,vicinity,pruning,rpvo_max,rhizome_cuttoff,congestion_threshold_value,memory_cc,chip_area,totE,time,avg_objects_per_cc,total_objects_created,vertices,edges,graph_file,routing_algorithm
0,MESH,OFF,ON,4,58838,10183163,999826,9183337,999826,723155,642,83.738,276029,6149197,276671,829462198,128,128,20,20,3,ON,1,431800,181,112000,532.9144041378895,0.009663816743893166,5.8838e-05,22.9643,376247,262144,4718592,PATH-TO/Datasets/Synthetic/RMAT_ef_9_v_18.edgelist,XY
0,TORUS,OFF,ON,4,46214,9839114,958069,8881045,958069,699203,966,81.1846,257900,5706155,258866,614388181,128,128,20,20,3,ON,1,431800,90,112000,538.9984495005268,0.01422904785401955,4.6214e-05,22.9643,376247,262144,4718592,PATH-TO/Datasets/Synthetic/RMAT_ef_9_v_18.edgelist,XY
0,MESH,OFF,ON,4,350600,10759644,1060858,9698786,1060858,767417,6470,91.7493,286971,7522517,293441,111290391,16,16,20,20,2,ON,1,431800,22,3148000,221.2626779756134,0.006803496058762449,0.0003506,1469.71,376247,262144,4718592,PATH-TO/Datasets/Synthetic/RMAT_ef_9_v_18.edgelist,XY
0,TORUS,OFF,ON,4,200228,10251424,989525,9261899,989525,732796,16856,97.3282,239873,7239939,256729,80378366,16,16,20,20,2,ON,1,431800,11,3148000,221.3577411844046,0.009086540857910125,0.000200228,1469.71,376247,262144,4718592,PATH-TO/Datasets/Synthetic/RMAT_ef_9_v_18.edgelist,XY
0,MESH,OFF,ON,4,200023,10295056,1020805,9274251,1020805,734803,2074,83.0768,283928,7165225,286002,212571935,32,32,20,20,2,ON,1,431800,45,1112000,313.85509546409753,0.007683809116758347,0.000200023,367.429,376247,262144,4718592,PATH-TO/Datasets/Synthetic/RMAT_ef_9_v_18.edgelist,XY
0,TORUS,OFF,ON,4,99553,10284487,993103,9291384,993103,735226,4647,95.8381,253230,8337212,257877,160880415,32,32,20,20,2,ON,1,431800,22,1112000,314.23534829926245,0.011143839527731774,9.9553e-05,367.429,376247,262144,4718592,PATH-TO/Datasets/Synthetic/RMAT_ef_9_v_18.edgelist,XY
0,MESH,OFF,ON,4,105859,9946919,985733,8961186,985733,709979,1032,80.0136,274722,6742623,275754,410453388,64,64,20,20,3,ON,1,431800,90,728000,824.4987380207738,0.011981935468613,0.000105859,91.8572,376247,262144,4718592,PATH-TO/Datasets/Synthetic/RMAT_ef_9_v_18.edgelist,XY
0,TORUS,OFF,ON,4,69592,9720354,954717,8765637,954717,694377,1339,84.0475,259001,6600526,260340,303782164,64,64,20,20,3,ON,1,431800,45,728000,826.019749361433,0.017328467009825783,6.9592e-05,91.8572,376247,262144,4718592,PATH-TO/Datasets/Synthetic/RMAT_ef_9_v_18.edgelist,XY
1,MESH,OFF,ON,4,57567,10211141,994306,9216835,994306,726191,713,81.6589,267402,6266811,268115,834966980,128,128,20,20,3,ON,1,431800,181,112000,532.9144041378895,0.009726208612564296,5.7567e-05,22.9643,376247,262144,4718592,PATH-TO/Datasets/Synthetic/RMAT_ef_9_v_18.edgelist,XY
1,TORUS,OFF,ON,4,47712,10101936,1000111,9101825,1000111,717138,937,79.676,282036,5692301,282973,630520692,128,128,20,20,3,ON,1,431800,90,112000,538.9984495005268,0.014603031242177088,4.7712e-05,22.9643,376247,262144,4718592,PATH-TO/Datasets/Synthetic/RMAT_ef_9_v_18.edgelist,XY
