trail,network,termination,throttle,recv_buff_size,total_cycles,actions_created,actions_performed,actions_false_pred,diffusions_created,diffusions_performed,diffusions_false_pred,avg_cells_active_percent,diffusions_filtered,actions_overlaped,diffusions_pruned,operons_moved,dim_x,dim_y,min_edges,max_edges,vicinity,pruning,rpvo_max,rhizome_cuttoff,congestion_threshold_value,memory_cc,chip_area,totE,time,avg_objects_per_cc,total_objects_created,vertices,edges,graph_file,routing_algorithm
0,MESH,OFF,ON,4,1273548,176731197,6079793,170651404,6079793,4904108,1084,62.8175,1174601,120132454,1175685,14947921299,128,128,50,250,8,ON,16,10175,181,624304,2832.5277564666567,0.4050340549484807,0.001273548,321.801,5272386,4194303,128311436,PATH-TO-CCA-REPO/Datasets/muchiSim/kron22.edgelist,XY
0,TORUS,OFF,ON,4,505940,162593216,5571641,157021575,5571641,4640226,1500,85.6235,929915,123135467,931415,10327069778,128,128,50,250,8,ON,16,10175,90,624304,2838.611801829294,0.549079485592574,0.00050594,321.801,5272386,4194303,128311436,PATH-TO-CCA-REPO/Datasets/muchiSim/kron22.edgelist,XY
0,MESH,OFF,ON,4,3594305,168840134,6066640,162773494,6066640,4838125,4421,80.4199,1224094,119684601,1228515,3559884195,32,32,50,250,6,ON,16,10175,45,8108864,2276.8109135462896,0.35563632922216687,0.003594305,5148.81,5272386,4194303,128311436,PATH-TO-CCA-REPO/Datasets/muchiSim/kron22.edgelist,XY
0,TORUS,OFF,ON,4,1984384,174653836,6218135,168435701,6218135,5035087,8728,93.1776,1174320,140119861,1183048,2774487004,32,32,50,250,6,ON,16,10175,22,8108864,2277.1911663814544,0.5220764124872592,0.001984384,5148.81,5272386,4194303,128311436,PATH-TO-CCA-REPO/Datasets/muchiSim/kron22.edgelist,XY
0,MESH,OFF,ON,4,1946433,171999492,6127217,165872275,6127217,4878458,2011,75.9557,1246748,123255076,1248759,7305912885,64,64,50,250,7,ON,16,10175,90,2188608,2463.581030623513,0.3721510886351513,0.001946433,1287.2,5272386,4194303,128311436,PATH-TO-CCA-REPO/Datasets/muchiSim/kron22.edgelist,XY
1,MESH,OFF,ON,4,1318079,163822787,5682692,158140095,5682692,4584854,923,58.9627,1096915,114365330,1097838,13827582459,128,128,50,250,8,ON,16,10175,181,624304,2832.5277564666567,0.3754166720496461,0.001318079,321.801,5272386,4194303,128311436,PATH-TO-CCA-REPO/Datasets/muchiSim/kron22.edgelist,XY
1,TORUS,OFF,ON,4,581043,172897926,5924720,166973206,5924720,4885831,1618,83.4108,1037271,132248972,1038889,10980913248,128,128,50,250,8,ON,16,10175,90,624304,2838.611801829294,0.5840709005535263,0.000581043,321.801,5272386,4194303,128311436,PATH-TO-CCA-REPO/Datasets/muchiSim/kron22.edgelist,XY
1,MESH,OFF,ON,4,3522861,169826445,6126102,163700343,6126102,4857753,4326,81.3041,1264023,120335026,1268349,3577692824,32,32,50,250,6,ON,16,10175,45,8108864,2276.8109135462896,0.35703301312326013,0.003522861,5148.81,5272386,4194303,128311436,PATH-TO-CCA-REPO/Datasets/muchiSim/kron22.edgelist,XY
1,TORUS,OFF,ON,4,2082228,178189863,6363352,171826511,6363352,5136870,9038,91.0003,1217444,144316572,1226482,2830905198,32,32,50,250,6,ON,16,10175,22,8108864,2277.1911663814544,0.5329388992521893,0.002082228,5148.81,5272386,4194303,128311436,PATH-TO-CCA-REPO/Datasets/muchiSim/kron22.edgelist,XY
1,MESH,OFF,ON,4,1923457,164669081,5883808,158785273,5883808,4709487,1922,74.7163,1172399,118780304,1174321,6960900138,64,64,50,250,7,ON,16,10175,90,2188608,2463.581030623513,0.3548979661745356,0.001923457,1287.2,5272386,4194303,128311436,PATH-TO-CCA-REPO/Datasets/muchiSim/kron22.edgelist,XY
1,TORUS,OFF,ON,4,1020380,168001806,5868869,162132937,5868869,4842127,3081,89.1494,1023661,134458854,1026742,5336247090,64,64,50,250,7,ON,16,10175,45,1788608,2016.2253296354054,0.47610216398099026,0.00102038,1287.2,5272386,4194303,128311436,PATH-TO-CCA-REPO/Datasets/muchiSim/kron22.edgelist,XY
2,MESH,OFF,ON,4,1277408,167312492,5746578,161565914,5746578,4662655,926,60.4572,1082997,116897437,1083923,14098259384,128,128,50,250,8,ON,16,10175,181,624304,2832.5277564666567,0.38241544458299254,0.001277408,321.801,5272386,4194303,128311436,PATH-TO-CCA-REPO/Datasets/muchiSim/kron22.edgelist,XY
