trail,network,termination,throttle,recv_buff_size,total_cycles,actions_created,actions_performed,actions_false_pred,diffusions_created,diffusions_performed,diffusions_false_pred,avg_cells_active_percent,diffusions_filtered,actions_overlaped,diffusions_pruned,operons_moved,dim_x,dim_y,min_edges,max_edges,vicinity,pruning,rpvo_max,rhizome_cuttoff,congestion_threshold_value,memory_cc,chip_area,totE,time,avg_objects_per_cc,total_objects_created,vertices,edges,graph_file,routing_algorithm
0,TORUS,OFF,ON,4,570403,133583197,133583197,0,7666053,7666053,0,75.6964,0,84755769,0,8213352668,128,128,50,250,2,ON,16,10175,90,624304,2838.611801829294,0.4381830276888316,0.000570403,321.801,5272386,4194303,128311436,PATH-TO/Datasets/muchiSim/kron22.edgelist,XY
0,TORUS,OFF,ON,4,2929482,133583197,133583197,0,7666053,7666053,0,83.2344,0,100688988,0,2054623539,32,32,50,250,2,ON,16,10175,22,8108864,2277.1911663814544,0.39347212743242366,0.002929482,5148.81,5272386,4194303,128311436,PATH-TO/Datasets/muchiSim/kron22.edgelist,XY
0,TORUS,OFF,ON,4,1211817,133583197,133583197,0,7666053,7666053,0,80.722,0,95458848,0,4107801163,64,64,50,250,2,ON,16,10175,45,2588608,2913.9787542929394,0.44418250282247634,0.001211817,1287.2,5272386,4194303,128311436,PATH-TO/Datasets/muchiSim/kron22.edgelist,XY
1,TORUS,OFF,ON,4,590109,133583197,133583197,0,7666053,7666053,0,74.7083,0,87680273,0,8213713024,128,128,50,250,2,ON,16,10175,90,624304,2838.611801829294,0.43830603338401225,0.000590109,321.801,5272386,4194303,128311436,PATH-TO/Datasets/muchiSim/kron22.edgelist,XY
1,TORUS,OFF,ON,4,2853891,133583197,133583197,0,7666053,7666053,0,84.8497,0,101268451,0,2054614420,32,32,50,250,2,ON,16,10175,22,8108864,2277.1911663814544,0.3931467232063811,0.002853891,5148.81,5272386,4194303,128311436,PATH-TO/Datasets/muchiSim/kron22.edgelist,XY
1,TORUS,OFF,ON,4,1247152,133583197,133583197,0,7666053,7666053,0,82.0634,0,95707352,0,4107895457,64,64,50,250,2,ON,16,10175,45,2588608,2913.9787542929394,0.44438575110795175,0.001247152,1287.2,5272386,4194303,128311436,PATH-TO/Datasets/muchiSim/kron22.edgelist,XY
2,TORUS,OFF,ON,4,561931,133583197,133583197,0,7666053,7666053,0,77.4178,0,87754515,0,8213419537,128,128,50,250,2,ON,16,10175,90,624304,2838.611801829294,0.4381418696191803,0.000561931,321.801,5272386,4194303,128311436,PATH-TO/Datasets/muchiSim/kron22.edgelist,XY
2,TORUS,OFF,ON,4,2985590,133583197,133583197,0,7666053,7666053,0,82.6749,0,99912948,0,2054838973,32,32,50,250,2,ON,16,10175,22,8108864,2277.1911663814544,0.39375224650939206,0.00298559,5148.81,5272386,4194303,128311436,PATH-TO/Datasets/muchiSim/kron22.edgelist,XY
2,TORUS,OFF,ON,4,1246654,133583197,133583197,0,7666053,7666053,0,79.5672,0,93911872,0,4107730420,64,64,50,250,2,ON,16,10175,45,2588608,2913.9787542929394,0.4443654884135036,0.001246654,1287.2,5272386,4194303,128311436,PATH-TO/Datasets/muchiSim/kron22.edgelist,XY
0,TORUS,OFF,ON,4,842715,133580038,133580038,0,7664835,7664835,0,68.7681,0,74603001,0,8213994228,128,128,50,250,2,ON,1,162800,90,624304,2838.611801829294,0.4396534647430756,0.000842715,321.764,5271777,4194303,128311436,PATH-TO/Datasets/muchiSim/kron22.edgelist,XY
0,TORUS,OFF,ON,4,7242284,133580038,133580038,0,7664835,7664835,0,88.4742,0,102333443,0,1028099696,16,16,50,250,2,ON,1,162800,11,29217728,2049.809896800843,0.378037490461425,0.007242284,20592.9,5271777,4194303,128311436,PATH-TO/Datasets/muchiSim/kron22.edgelist,XY
0,TORUS,OFF,ON,4,2993723,133580038,133580038,0,7664835,7664835,0,84.0941,0,98405345,0,2054565696,32,32,50,250,2,ON,1,162800,22,8108864,2277.1911663814544,0.3937365195291327,0.002993723,5148.22,5271777,4194303,128311436,PATH-TO/Datasets/muchiSim/kron22.edgelist,XY
0,TORUS,OFF,ON,4,1337726,133580038,133580038,0,7664835,7664835,0,76.9656,0,88318689,0,4107428572,64,64,50,250,2,ON,1,162800,45,1788608,2016.2253296354054,0.3691542570100716,0.001337726,1287.05,5271777,4194303,128311436,PATH-TO/Datasets/muchiSim/kron22.edgelist,XY
