trail,network,termination,throttle,recv_buff_size,total_cycles,actions_created,actions_performed,actions_false_pred,diffusions_created,diffusions_performed,diffusions_false_pred,avg_cells_active_percent,diffusions_filtered,actions_overlaped,diffusions_pruned,operons_moved,dim_x,dim_y,min_edges,max_edges,vicinity,pruning,rpvo_max,rhizome_cuttoff,congestion_threshold_value,memory_cc,chip_area,totE,time,avg_objects_per_cc,total_objects_created,vertices,edges,graph_file,routing_algorithm
0,MESH,OFF,ON,4,1059702,147974692,9189479,138785213,9189479,6827338,2652,69.8649,2359489,100155120,2362141,12498254729,128,128,50,250,8,ON,16,26987,181,424304,1934.7743318091223,0.279145005233425,0.001059702,298.069,4883564,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
0,TORUS,OFF,ON,4,728797,144800964,8918065,135882899,8918065,6686077,3415,78.1678,2228573,104867969,2231988,9207377868,128,128,50,250,8,ON,16,26987,90,424304,1940.8583771717597,0.4055372264797137,0.000728797,298.069,4883564,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
0,MESH,OFF,ON,4,6755624,173228348,11162339,162066009,11162339,7924648,45329,87.5595,3192362,125992498,3237691,1822343466,16,16,50,250,3,ON,16,26987,22,22217728,1558.755929482463,0.308162818203246,0.006755624,19076.4,4883564,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
0,MESH,OFF,ON,4,3458546,167743587,10728593,157014994,10728593,7678628,15093,84.5828,3034872,123935294,3049965,3557607154,32,32,50,250,6,ON,16,26987,45,6108864,1715.7150231353303,0.30641413873584217,0.003458546,4769.11,4883564,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
0,TORUS,OFF,ON,4,1863752,165282781,10266588,155016193,10266588,7604940,28344,94.0351,2633304,137454315,2661648,2628627835,32,32,50,250,6,ON,16,26987,22,6108864,1716.095275970495,0.428499271183889,0.001863752,4769.11,4883564,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
0,MESH,OFF,ON,4,1876552,157206338,9924259,147282079,9924259,7245142,6340,76.3526,2672777,115506027,2679117,6679639877,64,64,50,250,7,ON,16,26987,90,1588608,1790.2659621303628,0.28942455233447306,0.001876552,1192.28,4883564,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
0,TORUS,OFF,ON,4,1282436,157052860,9835661,147217199,9835661,7200897,9393,80.7798,2625371,112443886,2634764,4994048754,64,64,50,250,7,ON,16,26987,45,1588608,1791.7869734710223,0.4209891832046909,0.001282436,1192.28,4883564,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
10,TORUS,OFF,ON,4,866872,147777381,9139618,138637763,9139618,6805524,3474,77.5955,2330620,118798659,2334094,9398177255,128,128,50,250,8,ON,16,26987,90,424304,1940.8583771717597,0.41438194887349383,0.000866872,298.069,4883564,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
11,TORUS,OFF,ON,4,589602,151255671,9255704,141999967,9255704,6999386,4591,77.1581,2251727,108231441,2256318,9618660111,128,128,50,250,8,ON,16,26987,90,424304,1940.8583771717597,0.4230359746765212,0.000589602,298.069,4883564,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
1,MESH,OFF,ON,4,1139475,161651986,10307754,151344232,10307754,7401286,3071,71.4969,2903397,110695625,2906468,13593370848,128,128,50,250,8,ON,16,26987,181,424304,1934.7743318091223,0.3035607113411382,0.001139475,298.069,4883564,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
1,TORUS,OFF,ON,4,676864,154546164,9699996,144846168,9699996,7097903,3930,80.4769,2598163,107167477,2602093,9827064925,128,128,50,250,8,ON,16,26987,90,424304,1940.8583771717597,0.43246999093540417,0.000676864,298.069,4883564,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
1,MESH,OFF,ON,4,6873535,181462202,11743446,169718756,11743446,8275710,48238,89.1038,3419498,133027048,3467736,1908156322,16,16,50,250,3,ON,16,26987,22,22217728,1558.755929482463,0.3220871684357119,0.006873535,19076.4,4883564,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
1,MESH,OFF,ON,4,3601518,166578761,10731313,155847448,10731313,7637886,14865,82.3209,3078562,123180402,3093427,3527524996,32,32,50,250,6,ON,16,26987,45,6108864,1715.7150231353303,0.30437995807737067,0.003601518,4769.11,4883564,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
1,TORUS,OFF,ON,4,1832683,161857298,10053504,151803794,10053504,7440887,27471,93.5547,2585146,135089079,2612617,2574185134,32,32,50,250,6,ON,16,26987,22,6108864,1716.095275970495,0.41964872038420636,0.001832683,4769.11,4883564,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
1,MESH,OFF,ON,4,2199254,167907824,10878515,157029309,10878515,7707894,6730,71.9372,3163891,122261017,3170621,7134439935,64,64,50,250,7,ON,16,26987,90,1588608,1790.2659621303628,0.3097861931944679,0.002199254,1192.28,4883564,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
1,TORUS,OFF,ON,4,933969,159631775,9787891,149843884,9787891,7339847,10221,91.8591,2437823,130447689,2448044,5076217088,64,64,50,250,7,ON,16,26987,45,1588608,1791.7869734710223,0.4266746095775795,0.000933969,1192.28,4883564,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
2,MESH,OFF,ON,4,1109925,154652507,9777060,144875447,9777060,7112056,2927,71.3028,2662077,104002813,2665004,13061537296,128,128,50,250,8,ON,16,26987,181,424304,1934.7743318091223,0.2917354113832608,0.001109925,298.069,4883564,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
2,TORUS,OFF,ON,4,910658,145718366,8942732,136775634,8942732,6720978,2701,76.1915,2219053,115689325,2221754,9265999874,128,128,50,250,8,ON,16,26987,90,424304,1940.8583771717597,0.40875446428739826,0.000910658,298.069,4883564,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
2,MESH,OFF,ON,4,6536769,176208808,11340218,164868590,11340218,8068974,45495,90.6725,3225749,129516240,3271244,1854954823,16,16,50,250,3,ON,16,26987,22,22217728,1558.755929482463,0.3126804026738806,0.006536769,19076.4,4883564,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
2,MESH,OFF,ON,4,3626962,160741930,10284132,150457798,10284132,7397181,13838,79.689,2873113,118497298,2886951,3404661553,32,32,50,250,6,ON,16,26987,45,6108864,1715.7150231353303,0.29426478051130944,0.003626962,4769.11,4883564,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
2,TORUS,OFF,ON,4,1925266,169812120,10569689,159242431,10569689,7778896,29207,94.2392,2761586,142503315,2790793,2700817370,32,32,50,250,6,ON,16,26987,22,6108864,1716.095275970495,0.4403004653674934,0.001925266,4769.11,4883564,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
2,MESH,OFF,ON,4,1927257,157704390,10123988,147580402,10123988,7238679,6256,75.1043,2879053,116298099,2885309,6690125624,64,64,50,250,7,ON,16,26987,90,1588608,1790.2659621303628,0.29004073815050074,0.001927257,1192.28,4883564,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
2,TORUS,OFF,ON,4,1234334,163948789,10145825,153802964,10145825,7531924,9851,86.0508,2604050,131078200,2613901,5214207226,64,64,50,250,7,ON,16,26987,45,1588608,1791.7869734710223,0.43919634179681394,0.001234334,1192.28,4883564,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
3,TORUS,OFF,ON,4,1937221,173622461,10871510,162750951,10871510,7943526,30639,94.1953,2897345,144578100,2927984,2761229601,32,32,50,250,6,ON,16,26987,22,6108864,1716.095275970495,0.4500491286711154,0.001937221,4769.11,4883564,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
3,TORUS,OFF,ON,4,921259,159429345,9798702,149630643,9798702,7327703,10310,93.6672,2460689,130484632,2470999,5070145797,64,64,50,250,7,ON,16,26987,45,1588608,1791.7869734710223,0.42612545950557845,0.000921259,1192.28,4883564,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
0,MESH,OFF,ON,4,1668464,150684760,9795397,140889363,9795397,6952114,1654,68.6516,2841629,84542953,2843283,12638981190,128,128,50,250,8,ON,1,431800,181,424304,1934.7743318091223,0.28443326566254473,0.001668464,298.058,4883389,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
0,TORUS,OFF,ON,4,1513925,144851979,9384255,135467724,9384255,6700842,1656,69.1202,2681757,94577812,2683413,9209672930,128,128,50,250,8,ON,1,431800,90,424304,1940.8583771717597,0.40845479312427185,0.001513925,298.058,4883389,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
0,MESH,OFF,ON,4,7091032,174527751,11257994,163269757,11257994,7991127,43866,85.7101,3223001,126119549,3266867,1838674613,16,16,50,250,3,ON,1,431800,22,22217728,1558.755929482463,0.31173000551685287,0.007091032,19075.7,4883389,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
0,TORUS,OFF,ON,4,3814236,171622383,10635171,160987212,10635171,7863015,111154,93.8097,2661002,132079295,2772156,1365462162,16,16,50,250,3,ON,1,431800,11,22217728,1558.850992691254,0.41607178041098936,0.003814236,19075.7,4883389,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
0,MESH,OFF,ON,4,3508891,161847588,10427327,151420261,10427327,7421798,14768,81.9,2990761,118668636,3005529,3424112332,32,32,50,250,6,ON,1,431800,45,6108864,1715.7150231353303,0.29549906290199224,0.003508891,4768.93,4883389,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
0,TORUS,OFF,ON,4,2070600,170635418,10515752,160119666,10515752,7789025,31673,92.0951,2695054,143469250,2726727,2713822388,32,32,50,250,6,ON,1,431800,22,6108864,1716.095275970495,0.4428591190934812,0.0020706,4768.93,4883389,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
0,MESH,OFF,ON,4,2195144,153640448,9898370,143742078,9898370,7069773,4657,77.1764,2823940,103430381,2828597,6465086458,64,64,50,250,7,ON,1,431800,90,1588608,1790.2659621303628,0.2814051826355546,0.002195144,1192.23,4883389,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
0,TORUS,OFF,ON,4,2090606,149253441,9551100,139702341,9551100,6861545,4072,81.1438,2685483,111160986,2689555,4745416147,64,64,50,250,7,ON,1,431800,45,1588608,1791.7869734710223,0.40295733302361864,0.002090606,1192.23,4883389,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
1,MESH,OFF,ON,4,1626971,146217461,9460592,136756869,9460592,6774937,1678,67.6731,2683977,83357512,2685655,12322302232,128,128,50,250,8,ON,1,431800,181,424304,1934.7743318091223,0.2773052847099906,0.001626971,298.058,4883389,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
1,TORUS,OFF,ON,4,1374134,141960823,9213539,132747284,9213539,6578435,1964,64.4165,2633140,75526450,2635104,9021867924,128,128,50,250,8,ON,1,431800,90,424304,1940.8583771717597,0.399735284678749,0.001374134,298.058,4883389,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
1,MESH,OFF,ON,4,7021606,178787318,11577366,167209952,11577366,8157791,45538,88.0643,3374037,129481560,3419575,1881897263,16,16,50,250,3,ON,1,431800,22,22217728,1558.755929482463,0.3183660661413703,0.007021606,19075.7,4883389,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
1,TORUS,OFF,ON,4,3751626,172606700,10695508,161911192,10695508,7902547,110640,95.5346,2682321,136478833,2792961,1373698971,16,16,50,250,3,ON,1,431800,11,22217728,1558.850992691254,0.41833030817063943,0.003751626,19075.7,4883389,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
1,MESH,OFF,ON,4,4072554,162699036,10629166,152069870,10629166,7470520,12932,77.3574,3145714,113540560,3158646,3418505850,32,32,50,250,6,ON,1,431800,45,6108864,1715.7150231353303,0.2968565124280636,0.004072554,4768.93,4883389,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
1,TORUS,OFF,ON,4,1918344,164186447,10190552,153995895,10190552,7542053,30616,93.4006,2617883,138322590,2648499,2611582137,32,32,50,250,6,ON,1,431800,22,6108864,1716.095275970495,0.42593561324657864,0.001918344,4768.93,4883389,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
1,MESH,OFF,ON,4,2228901,155337644,10029574,145308070,10029574,7144933,4503,76.7842,2880138,100099544,2884641,6491579558,64,64,50,250,7,ON,1,431800,90,1588608,1790.2659621303628,0.2826449527896488,0.002228901,1192.23,4883389,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
2,TORUS,OFF,ON,4,1481831,144472783,9231628,135241155,9231628,6691801,1522,72.5805,2538305,98807531,2539827,9184032899,128,128,50,250,8,ON,1,431800,90,424304,1940.8583771717597,0.4072171774300621,0.001481831,298.058,4883389,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
2,MESH,OFF,ON,4,6697988,177411600,11519799,165891801,11519799,8115092,46602,89.6641,3358105,129642161,3404707,1867699136,16,16,50,250,3,ON,1,431800,22,22217728,1558.755929482463,0.31517027214734283,0.006697988,19075.7,4883389,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
2,TORUS,OFF,ON,4,3912196,175877168,10900618,164976550,10900618,8050483,111553,93.4244,2738582,137289286,2850135,1399499020,16,16,50,250,3,ON,1,431800,11,22217728,1558.850992691254,0.4264515864498458,0.003912196,19075.7,4883389,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
2,MESH,OFF,ON,4,4135905,165065406,10599278,154466128,10599278,7560303,13687,76.0982,3025288,118295281,3038975,3491429390,32,32,50,250,6,ON,1,431800,45,6108864,1715.7150231353303,0.3031087840685351,0.004135905,4768.93,4883389,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
2,TORUS,OFF,ON,4,1891505,166137155,10324676,155812479,10324676,7638091,30619,93.9593,2655966,138183129,2686585,2642335378,32,32,50,250,6,ON,1,431800,22,6108864,1716.095275970495,0.43079195364654427,0.001891505,4768.93,4883389,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
2,MESH,OFF,ON,4,2292689,155841614,10014427,145827187,10014427,7158766,4402,76.2949,2851259,101345358,2855661,6527760963,64,64,50,250,7,ON,1,431800,90,1588608,1790.2659621303628,0.2843913043461925,0.002292689,1192.23,4883389,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
