trail,network,termination,throttle,recv_buff_size,total_cycles,actions_created,actions_performed,actions_false_pred,diffusions_created,diffusions_performed,diffusions_false_pred,avg_cells_active_percent,diffusions_filtered,actions_overlaped,diffusions_pruned,operons_moved,dim_x,dim_y,min_edges,max_edges,vicinity,pruning,rpvo_max,rhizome_cuttoff,congestion_threshold_value,memory_cc,chip_area,totE,time,avg_objects_per_cc,total_objects_created,vertices,edges,graph_file,routing_algorithm
0,TORUS,OFF,ON,4,581657,105631413,105631413,0,8513827,8513827,0,73.0005,0,66990518,0,6460888811,128,128,50,250,8,ON,16,26987,90,424304,1940.8583771717597,0.28528533201757655,0.000581657,298.069,4883564,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
0,TORUS,OFF,ON,4,2723506,105631413,105631413,0,8513827,8513827,0,81.8736,0,76841671,0,1615962089,32,32,50,250,6,ON,16,26987,22,6108864,1716.095275970495,0.26897685545635847,0.002723506,4769.11,4883564,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
0,TORUS,OFF,ON,4,1219489,105631413,105631413,0,8513827,8513827,0,77.0429,0,72042116,0,3230759463,64,64,50,250,7,ON,16,26987,45,1588608,1791.7869734710223,0.2741197925776843,0.001219489,1192.28,4883564,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
1,TORUS,OFF,ON,4,634446,105631413,105631413,0,8513827,8513827,0,74.2254,0,72696439,0,6461386426,128,128,50,250,8,ON,16,26987,90,424304,1940.8583771717597,0.2854963512970358,0.000634446,298.069,4883564,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
1,TORUS,OFF,ON,4,2713010,105631413,105631413,0,8513827,8513827,0,81.6968,0,77238046,0,1616041542,32,32,50,250,6,ON,16,26987,22,6108864,1716.095275970495,0.2689557469862164,0.00271301,4769.11,4883564,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
1,TORUS,OFF,ON,4,1148065,105631413,105631413,0,8513827,8513827,0,79.8626,0,72507875,0,3230807371,64,64,50,250,7,ON,16,26987,45,1588608,1791.7869734710223,0.27388409079036724,0.001148065,1192.28,4883564,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
2,TORUS,OFF,ON,4,631459,105631413,105631413,0,8513827,8513827,0,74.352,0,76405471,0,6461066057,128,128,50,250,8,ON,16,26987,90,424304,1940.8583771717597,0.28547163815325305,0.000631459,298.069,4883564,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
2,TORUS,OFF,ON,4,2866811,105631413,105631413,0,8513827,8513827,0,79.9642,0,74755496,0,1615909585,32,32,50,250,6,ON,16,26987,22,6108864,1716.095275970495,0.2694307641248319,0.002866811,4769.11,4883564,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
2,TORUS,OFF,ON,4,1260129,105631413,105631413,0,8513827,8513827,0,75.1242,0,70844625,0,3231310451,64,64,50,250,7,ON,16,26987,45,1588608,1791.7869734710223,0.2743020950047542,0.001260129,1192.28,4883564,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
0,TORUS,OFF,ON,4,1760271,105631370,105631370,0,8513636,8513636,0,55.127,0,53834950,0,6460840214,128,128,50,250,8,ON,1,431800,90,424304,1940.8583771717597,0.2895089733365037,0.001760271,298.058,4883389,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
