trail,network,termination,throttle,recv_buff_size,total_cycles,actions_created,actions_performed,actions_false_pred,diffusions_created,diffusions_performed,diffusions_false_pred,avg_cells_active_percent,diffusions_filtered,actions_overlaped,diffusions_pruned,operons_moved,dim_x,dim_y,min_edges,max_edges,vicinity,pruning,rpvo_max,rhizome_cuttoff,congestion_threshold_value,memory_cc,chip_area,totE,time,avg_objects_per_cc,total_objects_created,vertices,edges,graph_file,routing_algorithm
0,TORUS,OFF,ON,4,2726385,726624534,50226917,676397617,50226917,31735747,19671,93.73,18471499,516958922,18491170,46140579006,128,128,50,250,8,ON,16,26987,90,1103190,4988.219534432034,3.261078052968207,0.002726385,298.069,4883564,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
0,TORUS,OFF,ON,4,6993166,672610026,43843940,628766086,43843940,29543578,142468,97.4759,14157894,589065323,14300362,10693533333,32,32,50,250,6,ON,16,26987,22,8108864,2277.1911663814544,2.0094902631087397,0.006993166,4769.11,4883564,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
0,TORUS,OFF,ON,4,3154129,618928137,41333742,577594395,41333742,27205625,60440,96.9683,14067677,522695571,14128117,19674606291,64,64,50,250,7,ON,16,26987,45,3610380,4060.6028945669127,2.4943052361637057,0.003154129,1192.28,4883564,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
1,TORUS,OFF,ON,4,2660980,699231881,47663849,651568032,47663849,30440805,17136,93.3719,17205908,501381195,17223044,44425762196,128,128,50,250,8,ON,16,26987,90,1103190,4988.219534432034,3.140210488753837,0.00266098,298.069,4883564,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
1,TORUS,OFF,ON,4,6944587,660393133,43781696,616611437,43781696,29010536,146944,97.4453,14624216,577576393,14771160,10498677118,32,32,50,250,6,ON,16,26987,22,8108864,2277.1911663814544,1.973214731251749,0.006944587,4769.11,4883564,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
1,TORUS,OFF,ON,4,3167295,618427468,41086184,577341284,41086184,27209453,59073,96.5812,13817658,502596484,13876731,19659683335,64,64,50,250,7,ON,16,26987,45,3610380,4060.6028945669127,2.4925309212859665,0.003167295,1192.28,4883564,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
2,TORUS,OFF,ON,4,2821984,602029052,43450540,558578512,43450540,26259885,13201,93.7014,17177454,472469554,17190655,38254286367,128,128,50,250,8,ON,16,26987,90,1103190,4988.219534432034,2.708940681403813,0.002821984,298.069,4883564,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
2,TORUS,OFF,ON,4,6925040,668642568,44256405,624386163,44256405,29393863,148294,97.9497,14714248,585865039,14862542,10629948336,32,32,50,250,6,ON,16,26987,22,8108864,2277.1911663814544,1.9974310881026902,0.00692504,4769.11,4883564,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
2,TORUS,OFF,ON,4,3327538,643778030,42675334,601102696,42675334,28269229,60278,96.1531,14345827,532212370,14406105,20462869661,64,64,50,250,7,ON,16,26987,45,3610380,4060.6028945669127,2.5945970893771113,0.003327538,1192.28,4883564,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
0,TORUS,OFF,ON,4,7641800,840631328,65311770,775319558,65311770,36806673,10771,71.9128,28494326,413710406,28505097,53374548087,128,128,50,250,8,ON,1,431800,90,1103190,4988.219534432034,3.81422311975726,0.0076418,298.058,4883389,4206289,101311613,PATH-TO/Datasets/muchiSim/wikipedia.edgelist,XY
